Park Unit,"Total Recreation
Visits","Total Visitor
Spending
($000s, $2018)",Jobs,"Labor Income
($000s, $2018)","Value Added
($000s, $2018)","Economic
Output
($000s, $2018)"
Abraham Lincoln Birthplace NHP,"260,964","$15,411",229,"$6,896","$12,031","$20,784"
Acadia NP * !,"3,537,575","$387,654","5,602","$171,668","$304,982","$521,454"
Adams NHP,"121,007","$7,146",94,"$3,954","$6,492","$10,196"
African Burial Ground NM,"45,036","$2,660",31,"$1,466","$2,478","$3,698"
Agate Fossil Beds NM *,"16,238","$1,206",17,$380,$660,"$1,263"
Alibates Flint Quarries NM,"7,415",$438,6,$173,$295,$539
Allegheny Portage Railroad NHS,"189,048","$11,164",177,"$5,557","$8,982","$15,654"
Amistad NRA,"1,111,770","$49,308",637,"$15,645","$27,515","$50,454"
Andersonville NHS,"138,164","$8,159",134,"$2,992","$5,247","$10,193"
Andrew Johnson NHS,"50,670","$2,992",44,"$1,326","$2,205","$3,866"
Aniakchak NM&PRES,100,$71,1,$30,$67,$101
Antietam NB,"326,197","$19,258",255,"$10,290","$17,069","$26,931"
Apostle Islands NL *,"252,921","$40,440",576,"$14,718","$26,200","$48,164"
Appomattox Court House NHP,"103,045","$6,085",91,"$2,454","$4,225","$7,585"
Arches NP *,"1,663,556","$200,337","3,079","$81,408","$144,434","$262,845"
Arkansas Post NMEM,"30,126","$1,779",25,$706,"$1,250","$2,188"
"Arlington House, The Robert E. Lee
Memorial NMEM","49,500","$2,923",38,"$1,560","$2,597","$4,069"
Assateague Island NS,"2,136,889","$94,476","1,192","$37,169","$62,216","$105,594"
Aztec Ruins NM,"54,932","$3,244",48,"$1,147","$2,045","$3,803"
Badlands NP,"1,008,942","$65,840",924,"$25,954","$44,838","$82,542"
Bandelier NM,"198,442","$12,468",179,"$5,167","$8,957","$15,991"
Belmont-Paul Women's Equality NM,"9,081",$174,2,$94,$160,$250
Bent's Old Fort NHS,"23,562","$1,391",20,$560,$981,"$1,711"
Bering Land Bridge NPRES,"2,642","$4,014",49,"$1,880","$3,518","$5,706"
Big Bend NP,"440,091","$38,865",567,"$12,734","$23,309","$43,775"
Big Cypress NPRES,"794,349","$63,918",849,"$32,028","$56,205","$91,724"
Big Hole NB * !,"56,943","$4,026",53,"$1,464","$2,232","$4,154"
Big South Fork NRRA * !,"760,907","$23,702",288,"$8,720","$14,666","$25,590"
Big Thicket NPRES,"221,514","$14,340",181,"$6,767","$11,652","$18,822"
Bighorn Canyon NRA,"235,569","$10,409",147,"$4,248","$6,842","$12,526"
Biscayne NP,"469,254","$30,309",398,"$15,004","$25,993","$42,347"
Black Canyon Of The Gunnison NP,"308,962","$19,315",241,"$8,192","$14,317","$23,677"
Blue Ridge PKWY * !,"14,690,418","$1,096,235","15,943","$430,067","$733,915","$1,332,187"
