State,"Total Recreation
Visits","Total Visitor
Spending
($Millions, $2018)",Jobs,"Labor Income
($Millions, $2018)","Value Added
($Millions, $2018)","Economic Output
($Millions, $2018)"
Alabama,"1,020,976",$45.0,679,$17.8,$30.5,$55.9
Alaska,"2,920,250","$1,362.5","17,760",$658.4,"$1,179.2","$1,980.2"
American Samoa,"28,625",$1.7,19,$0.8,$1.4,$2.2
Arizona,"12,850,194","$1,349.8","19,780",$700.4,"$1,249.4","$2,099.1"
Arkansas,"3,175,612",$177.5,"2,690",$64.4,$119.5,$222.4
California,"39,908,515","$2,672.1","35,720","$1,597.8","$2,653.7","$4,221.4"
Colorado,"7,565,056",$496.6,"7,096",$258.3,$446.1,$742.6
Connecticut,"35,383",$2.1,25,$1.1,$1.8,$2.8
District of Columbia,"40,159,095",$768.1,"6,746",$353.4,$586.2,$833.4
Florida,"9,646,722",$530.3,"7,654",$266.3,$464.8,$782.4
Georgia,"7,519,833",$403.4,"6,130",$198.1,$337.2,$581.2
Guam,"387,855",$22.9,257,$10.6,$19.0,$29.4
Hawaii,"4,838,835",$526.8,"5,819",$253.1,$481.7,$734.1
Idaho,"745,543",$37.4,569,$15.6,$26.6,$48.5
Illinois,"197,717",$12.1,162,$6.5,$11.5,$18.0
Indiana,"2,011,117",$91.4,"1,304",$39.5,$65.9,$115.4
Iowa,"193,663",$11.7,184,$5.0,$8.5,$15.3
Kansas,"110,191",$5.5,81,$2.4,$4.0,$7.2
Kentucky,"1,742,441",$111.3,"1,564",$46.3,$81.9,$142.5
Louisiana,"611,241",$36.1,511,$15.5,$27.9,$47.4
Maine,"3,549,575",$388.4,"5,820",$188.6,$336.2,$571.1
Maryland,"6,006,442",$202.5,"2,573",$101.4,$171.9,$271.2
Massachusetts,"9,646,318",$831.9,"10,526",$479.2,$793.1,"$1,226.2"
Michigan,"2,745,669",$237.4,"3,383",$112.5,$203.8,$339.5
Minnesota,"1,186,405",$64.4,925,$31.2,$53.4,$91.1
Mississippi,"6,863,044",$214.4,"2,987",$72.2,$123.5,$230.3
Missouri,"3,622,004",$276.4,"4,612",$138.5,$227.8,$411.2
Montana,"5,547,379",$633.0,"9,536",$302.6,$489.2,$880.8
Nebraska,"287,995",$18.2,289,$8.5,$14.3,$25.5
Nevada,"5,837,312",$260.9,"2,981",$119.6,$200.2,$317.8
New Hampshire,"35,218",$1.8,26,$0.9,$1.6,$2.6
New Jersey,"4,488,759",$154.0,"2,088",$82.6,$135.3,$215.2
New Mexico,"2,113,807",$123.3,"1,766",$49.5,$84.4,$152.4
New York,"19,291,392",$737.1,"7,918",$358.4,$619.8,$923.3
North Carolina,"18,121,306","$1,342.9","20,559",$659.8,"$1,113.7","$1,952.2"
North Dakota,"774,623",$49.6,696,$20.7,$35.2,$63.5
Ohio,"2,511,420",$65.2,"1,032",$34.1,$56.5,$98.5
Oklahoma,"1,491,343",$25.0,265,$7.9,$12.8,$23.0
Oregon,"1,279,046",$94.0,"1,352",$47.3,$78.8,$132.6
Pennsylvania,"9,708,443",$467.1,"7,381",$256.1,$406.3,$693.0
Puerto Rico,"910,405",$53.8,603,$24.9,$44.6,$69.0
Rhode Island,"60,709",$3.6,48,$1.7,$3.0,$4.8
South Carolina,"1,612,760",$89.8,"1,259",$38.5,$67.7,$115.5
South Dakota,"4,386,897",$293.5,"4,288",$130.4,$216.1,$386.7
Tennessee,"9,256,332",$652.6,"8,872",$322.0,$542.4,$904.4
Texas,"5,310,767",$302.9,"4,254",$156.3,$267.2,$447.5
Utah,"15,125,729","$1,207.2","18,687",$604.6,"$1,040.7","$1,838.5"
Vermont,"63,886",$3.8,51,$1.5,$2.8,$4.7
Virgin Islands,"256,076",$24.9,283,$11.8,$21.9,$33.5
Virginia,"22,171,018","$1,140.3","16,765",$547.4,$953.0,"$1,616.6"
Washington,"8,375,782",$505.9,"5,826",$234.9,$431.1,$669.5
West Virginia,"1,627,459",$73.6,"1,049",$29.0,$48.3,$85.8
Wisconsin,"615,243",$56.3,869,$25.2,$43.4,$77.3
Wyoming,"7,662,402",$927.9,"12,305",$359.0,$650.5,"$1,123.1"
