Park Unit,"Total Recreation
Visits","Total Visitor Spending
($000s, $2019)",Jobs,"Labor Income
($000s, $2019)","Value Added
($000s, $2019)","Economic Output
($000s, $2019)"
Abraham Lincoln Birthplace NHP,"238,225","$14,169",210,"$6,351","$11,082","$19,136"
Acadia NPa,"3,437,286","$379,517","5,474","$168,284","$298,961","$510,962"
Adams NHP,"187,400","$11,146",146,"$6,179","$10,145","$15,926"
African Burial Ground NM,"47,428","$2,821",33,"$1,558","$2,633","$3,928"
Agate Fossil Beds NMa,"16,657","$1,246",17,$393,$683,"$1,306"
Alibates Flint Quarries NM,"8,848",$526,8,$208,$355,$649
Allegheny Portage Railroad NHS,"189,189","$11,253",178,"$5,612","$9,070","$15,800"
Amistad NRA,"1,267,900","$56,596",730,"$17,997","$31,646","$57,993"
Andersonville NHS,"103,636","$6,164",101,"$2,265","$3,971","$7,711"
Andrew Johnson NHS,"51,189","$3,045",44,"$1,352","$2,247","$3,939"
Aniakchak NM&PRES,100,$70,1,$29,$66,$99
Antietam NB,"287,344","$17,086",226,"$9,146","$15,171","$23,926"
Apostle Islands NLa,"240,613","$38,732",551,"$14,127","$25,150","$46,194"
Appomattox Court House NHP,"102,398","$6,090",91,"$2,461","$4,236","$7,601"
Arches NPa,"1,659,702","$201,299","3,089","$81,926","$145,353","$264,383"
Arkansas Post NMEM,"28,519","$1,696",24,$674,"$1,194","$2,089"
"Arlington House, The Robert E.
Lee Memorial NMEMc",0,$0,0,$0,$0,$0
Assateague Island NS,"2,344,536","$104,353","1,316","$41,146","$68,870","$116,822"
Aztec Ruins NM,"63,777","$3,793",56,"$1,344","$2,395","$4,453"
Badlands NP,"970,998","$63,503",890,"$25,075","$43,288","$79,643"
Bandelier NM,"200,741","$12,746",182,"$5,294","$9,182","$16,384"
"Belmont-Paul Women's Equality
NM","9,912",$191,2,$104,$176,$276
Bent's Old Fort NHS,"21,674","$1,289",18,$520,$911,"$1,587"
Bering Land Bridge NPRES,"2,642","$4,041",50,"$1,896","$3,550","$5,749"
Big Bend NP,"463,833","$41,295",601,"$13,546","$24,853","$46,648"
Big Cypress NPRES,"1,007,471","$81,506","1,080","$40,906","$71,777","$117,080"
Big Hole NBa,"45,861","$3,264",43,"$1,190","$1,814","$3,373"
Big South Fork NRRAa,"750,494","$23,592",286,"$8,686","$14,642","$25,547"
Big Thicket NPRES,"255,925","$16,698",211,"$7,896","$13,596","$21,952"
Bighorn Canyon NRA,"249,658","$11,106",157,"$4,542","$7,316","$13,387"
Biscayne NP,"708,522","$46,249",606,"$22,947","$39,769","$64,758"
