State,"Total
Recreation
Visits","Total Visitor Spending
($Millions, $2019)",Jobs,"Labor Income
($Millions, $2019)","Value Added
($Millions, $2019)","Economic Output
($Millions, $2019)"
Alabama,"1,219,216",$57.2,871,$22.9,$39.3,$72.2
Alaska,"3,218,301","$1,506.8","19,645",$729.7,"$1,305.9","$2,192.9"
American Samoa,"60,006",$3.6,40,$1.7,$3.0,$4.6
Arizona,"12,463,771","$1,296.9","18,963",$673.0,"$1,200.2","$2,015.9"
Arkansas,"3,227,883",$180.4,"2,729",$65.6,$121.6,$226.1
California,"39,620,674","$2,704.2","36,049","$1,619.2","$2,689.8","$4,276.2"
Colorado,"7,761,210",$515.2,"7,343",$268.5,$463.8,$771.7
Connecticut,"38,700",$2.3,28,$1.2,$2.0,$3.1
"District of
Columbia","39,687,382",$764.8,"6,712",$352.4,$584.6,$830.7
Florida,"12,009,268",$678.2,"9,753",$341.1,$596.4,"$1,003.2"
Georgia,"8,206,284",$439.2,"6,651",$215.7,$367.0,$632.4
Guam,"432,213",$25.7,288,$11.9,$21.4,$33.1
Hawaii,"4,929,605",$535.2,"5,902",$257.2,$489.0,$745.0
Idaho,"617,646",$29.9,452,$12.5,$21.2,$38.6
Illinois,"197,817",$12.2,163,$6.6,$11.6,$18.2
Indiana,"2,413,130",$110.3,"1,568",$47.6,$79.5,$139.3
Iowa,"191,269",$11.7,184,$5.0,$8.5,$15.3
Kansas,"109,731",$5.6,83,$2.4,$4.1,$7.3
Kentucky,"1,752,796",$114.4,"1,607",$47.8,$84.7,$147.1
Louisiana,"661,301",$39.3,556,$17.0,$30.4,$51.7
Maine,"3,448,899",$380.2,"5,686",$184.9,$329.5,$559.6
Maryland,"6,854,872",$233.0,"2,957",$116.9,$198.4,$312.8
Massachusetts,"10,003,222",$871.1,"10,995",$502.4,$831.7,"$1,285.4"
Michigan,"2,702,015",$232.2,"3,300",$110.0,$199.3,$331.9
Minnesota,"1,099,276",$60.9,875,$29.6,$50.8,$86.6
Mississippi,"7,031,780",$225.1,"3,145",$76.5,$130.8,$243.7
Missouri,"3,629,382",$281.1,"4,685",$141.1,$232.3,$419.2
Montana,"5,547,212",$639.7,"9,622",$306.3,$495.9,$892.3
Nebraska,"305,111",$19.5,310,$9.1,$15.3,$27.3
Nevada,"5,756,090",$259.6,"2,962",$119.3,$199.7,$316.8
New Hampshire,"31,759",$1.6,24,$0.9,$1.5,$2.4
New Jersey,"4,588,966",$162.4,"2,199",$87.4,$143.2,$227.6
New Mexico,"2,139,675",$125.2,"1,792",$50.4,$85.9,$155.0
New York,"21,013,250",$840.7,"9,049",$411.6,$712.4,"$1,060.2"
North Carolina,"18,895,664","$1,412.1","21,580",$695.0,"$1,173.2","$2,055.5"
North Dakota,"714,979",$46.0,644,$19.2,$32.6,$58.9
Ohio,"2,613,085",$64.8,"1,013",$33.8,$55.9,$97.5
Oklahoma,"1,431,731",$24.0,251,$7.5,$12.3,$22.0
Oregon,"1,237,601",$91.7,"1,315",$46.2,$77.1,$129.6
Pennsylvania,"10,153,807",$478.6,"7,557",$262.9,$417.2,$711.3
Puerto Rico,"1,197,345",$71.2,798,$33.1,$59.2,$91.6
Rhode Island,"59,419",$3.5,47,$1.7,$3.0,$4.7
South Carolina,"1,655,573",$93.6,"1,309",$40.1,$70.6,$120.6
South Dakota,"3,928,432",$254.0,"3,642",$112.4,$187.3,$334.3
Tennessee,"9,979,140",$716.7,"9,732",$354.6,$597.6,$995.9
Texas,"5,834,681",$333.1,"4,663",$172.0,$293.9,$492.0
Utah,"15,285,192","$1,224.7","18,926",$614.2,"$1,058.1","$1,868.7"
Vermont,"45,980",$2.7,37,$1.1,$2.1,$3.4
Virgin Islands,"279,293",$28.3,321,$13.5,$25.0,$38.3
Virginia,"22,815,599","$1,177.2","17,262",$565.4,$984.4,"$1,669.1"
Washington,"8,776,098",$535.3,"6,150",$248.8,$457.3,$709.8
West Virginia,"1,652,243",$75.4,"1,077",$29.8,$49.8,$88.4
Wisconsin,"559,742",$52.8,814,$23.7,$40.8,$72.7
Wyoming,"7,431,297",$924.0,"12,257",$358.6,$650.4,"$1,122.8"
