Spending Group,"IMPLAN
Sector",Sector Name,Weight
hotels,499,"Hotels and motels, including casino hotels",1.00
camping fees,500,Other accommodations,1.00
restaurants,501,Full-service restaurants,0.50
restaurants,502,Limited-service restaurants,0.50
groceriesb,3400,Retail – Food and beverage stores,1.00
gasb,3402,Retail – Gasoline stores,1.00
local transportation,412,Transit and ground passenger transportation,0.25
local transportation,442,Automotive equipment rental and leasing,0.75
public transportationa,412,Transit and ground passenger transportation,1.00
rental carsa,442,Automotive equipment rental and leasing,1.00
local air transportation,408,Air transportation,1.00
local water transportationa,410,Water transportation,1.00
"scenic and sightseeing
transportationa",414,"Scenic and sightseeing transportation and
support activities for transportation",1.00
recreation and entertainment,496,Other amusement and recreation industries,1.00
guides and tour feesa,496,Other amusement and recreation industries,1.00
equipment rentala,443,"General and consumer goods rental except
video tapes and discs",1.00
"sporting goodsa,b",3404,"Retail – Sporting goods, hobby, musical
instrument and book stores",1.00
souvenirs and other retailb,3406,Retail – Miscellaneous store retailers,1.00
cruise packagea,410,Water transportation,0.45
cruise packagea,499,"Hotels and motels, including casino hotels",0.55
