Park Unit,Total Recreation Visits ($000s, $2020),Spending ($000s, $2020),Labor Income ($000s, $2020),Value Added ($000s, $2020),Output ($000s, $2020)
Arlington House, The Robert E. Lee Memorial NMEMc,0,0,0,0,0
Assateague Island NS,2481659,111372,1402,44007,73713,124986
Aztec Ruins NM,30223,1811,27,643,1145,2128
Badlands NP,916932,60511,847,23940,41344,76026
Bandelier NM,94948,6141,88,2558,4442,7925
Belmont-Paul Women's Equality NM,2535,49,1,27,45,71
Bent's Old Fort NHS,12438,745,10,301,527,919
Bering Land Bridge NPRES,2642,4067,50,1913,3582,5793
Big Bend NP,393907,33539,486,10916,20053,37678
Big Cypress NPRES,1181930,96331,1273,48430,84982,138557
Big Hole NBa,36234,2595,34,948,1446,2687
Big South Fork NRR,Aa,772625,24335,295,9007,15130,26361
Big Thicket NPRES,309053,20309,256,9621,16569,26737
Bighorn Canyon NRA,212295,9483,134,3888,6254,11432
Biscayne NP,402770,26489,347,13169,22824,37147
Black Canyon of the Gunnison NP,341619,21782,271,9279,16230,26811
Blue Ridge PKWYa,14099484,1067321,15472,420072,716910,1300099
Bluestone NSR,25208,1134,16,438,739,1313
Booker T Washington NM,22482,1347,21,571,975,1758
