Park Unit,Percent Visitor from Non-Local Visitors,Spending
Big Thicket NP,98.7%
Bighorn Canyon NRA,88.6%
Biscayne NP,98.7%
Black Canyon of the Gunnison NP,98.7%
Blue Ridge PKWY,94.9%
Bluestone NSR,88.3%
Booker T Washington NM,95.6%
Boston African American NHS,95.6%
Boston Harbor Islands NRA,88.3%
Boston NHP,95.6%
Brown V Board of Education NHS,95.6%
Bryce Canyon NP,98.4%
Buck Island Reef NM,98.8%
Buffalo NR,88.8%
Cabrillo NM,95.6%
Canaveral NS,67.5%
Cane River Creole NHP,95.6%
Canyon De Chelly NM,98.8%
Canyonlands NP,98.8%
Cape Cod NS,97.9%
Cape Hatteras NS,98.7%
Cape Krusenstern NM,100.0%
Cape Lookout NS,88.5%
Capitol Reef NP,99.6%
Capulin Volcano NM,98.5%
Carl Sandburg Home NHS,95.6%
Carlsbad Caverns NP,98.7%
Carter G. Woodson Home NHS,91.6%
Casa Grande Ruins NM,95.6%
Castillo De San Marcos NM,95.6%
Castle Clinton NM,61.4%
Catoctin Mountain P,98.7%
Cedar Breaks NM,98.7%
Cesar E. Chavez NM,95.6%
Chaco Culture NHP,98.7%
Chamizal NMEM,95.6%
Channel Islands NP,98.9%
Charles Pinckney NHS,95.6%
Charles Young Buffalo Soldiers NM,95.6%
Chattahoochee River NRA,88.3%
Chesapeake & Ohio Canal NHP,91.7%
Chickamauga & Chattanooga NMP,95.6%
Chickasaw NRA,61.6%
Chiricahua NM,98.8%
Christiansted NHS,95.6%
City of Rocks NRES,95.6%
Clara Barton NHS,95.5%
Colonial NHP,98.1%
Colorado NM,98.7%
Congaree NP,94.3%
Coronado NMEM,95.6%
Cowpens NB,98.7%
Crater Lake NP,98.4%
Craters of the Moon NM&PRES,98.7%
Cumberland Gap NHP,98.7%
Cumberland Island NS,90.1%
Curecanti NRA,88.7%
Cuyahoga Valley NP,71.6%
Dayton Aviation Heritage NHP,92.5%
De Soto NMEM,95.6%
Death Valley NP,98.4%
Delaware Water Gap NRA,84.1%
Denali NP&PRES,100.0%
Devils Postpile NM,98.7%
Devils Tower NM,98.7%
Dinosaur NM,98.8%
Dry Tortugas NP,98.8%
Dwight D. Eisenhower MEM,91.6%
Edgar Allan Poe NHS,95.6%
Effigy Mounds NM,95.8%
Eisenhower NHS,95.6%
El Malpais NM,95.6%
El Morro NM,98.7%
Eleanor Roosevelt NHS,95.6%
Eugene O'Neill NHS,95.6%
Everglades NP,97.4%
Federal Hall NMEM,95.6%
Fire Island NS,88.7%
First Ladies NHS,95.6%
Flight 93 NMEM,95.6%
Florissant Fossil Beds NM,95.6%
Ford's Theatre NHS,91.6%
Fort Bowie NHS,95.6%
Fort Caroline NMEM,95.6%
Fort Davis NHS,95.6%
Fort Donelson NB,98.7%
Fort Frederica NM,95.6%
George Washington Carver NM,95.1%
George Washington MEM PKWY,10.4%
Gettysburg NMP,98.7%
Gila Cliff Dwellings NM,95.6%
Glacier Bay NP&PRES,89.6%
Glacier NP,94.3%
Glen Canyon NRA,96.3%
Golden Gate NRA,86.0%
Golden Spike NHS,97.9%
Governors Island NM,95.6%
Grand Canyon NP,98.9%
Grand Portage NM,98.7%
Grand Teton NP,98.9%
Grant-Kohrs Ranch NHS,95.6%
Great Basin NP,98.8%
Great Sand Dunes NP&PRES,98.7%
Great Smoky Mountains NP,98.3%
Greenbelt P,98.7%
Guadalupe Mountains NP,98.7%
Guilford Courthouse NMP,95.6%
Gulf Islands NS,88.4%
Hagerman Fossil Beds NM,95.6%
Haleakala NP,98.7%
Hamilton Grange NMEM,95.6%
Hampton NHS,95.6%
Harpers Ferry NHP,92.2%
Harry S Truman NHS,95.6%
Hawaii Volcanoes NP,98.4%
Herbert Hoover NHS,95.6%
Home of Franklin D Roosevelt NHS,95.6%
Homestead NM,93.5%
Hopewell Culture NHP,95.6%
Hopewell Furnace NHS,95.6%
Horseshoe Bend NMP,95.6%
Hot Springs NP,98.7%
Hovenweep NM,98.7%
Hubbell Trading Post NHS,95.6%
Independence NHP,95.6%
Indiana Dunes NL,88.4%
Isle Royale NP,100.0%
James A Garfield NHS,91.4%
Jean Lafitte NP&PRES,95.6%
Jewel Cave NM,95.6%
Jimmy Carter NHS,95.6%
John D Rockefeller Jr MEM PKWY,93.2%
John Day Fossil Beds NM,98.6%
John F Kennedy NHS,95.6%
John Muir NHS,95.6%
Johnstown Flood NMEM,91.6%
Joshua Tree NP,99.1%
Kalaupapa NHP,95.6%
Kaloko-Honokohau NHP,95.6%
Katahdin Woods and Waters NM,98.7%
Katmai NP&PRES,100.0%
Kenai Fjords NP,100.0%
Kennesaw Mountain NBP,95.6%
Keweenaw NHP,95.5%
Kings Canyon NP,98.4%
Natural Bridges NM,98.7%
Navajo NM,98.7%
New Bedford Whaling NHP,95.3%
New Orleans Jazz NHP,95.6%
New River Gorge NR,88.3%
Nez Perce NHP,95.6%
Nicodemus NHS,98.0%
Ninety Six NHS,95.6%
Niobrara NSR,99.8%
Noatak NPRES,100.0%
North Cascades NP,99.2%
Obed W&SR,76.5%
Ocmulgee NM,95.6%
Olympic NP,98.4%
Oregon Caves NM,98.6%
Organ Pipe Cactus NM,98.8%
Ozark NSR,88.9%
Padre Island NS,88.8%
Palo Alto Battlefield NHP,95.6%
Paterson Great Falls NHP,95.6%
Pea Ridge NMP,95.6%
Pecos NHP,95.6%
Pennsylvania Avenue NHS,91.6%
Perry's Victory & International Peace MEM,89.6%
Petersburg NB,95.6%
Petrified Forest NP,98.7%
Petroglyph NM,95.6%
Pictured Rocks NL,88.6%
Pinnacles NP,98.8%
Pipe Spring NM,95.6%
Pipestone NM,95.6%
Piscataway P,95.6%
Point Reyes NS,88.4%
Port Chicago Naval Magazine NMEM,95.5%
President's Park,91.6%
President William Jefferson Clinton Birthplace Home NHS,95.6%
Prince William Forest P,98.7%
Pu`uhonua O Honaunau NHP,95.6%
Puukohola Heiau NHS,95.6%
Rainbow Bridge NM,95.6%
Redwood NP,98.7%
Richmond NBP,95.6%
Rio Grande W&SR,100.0%
River Raisin NB,95.6%
Rock Creek P,91.6%
Rocky Mountain NP,96.8%
Roger Williams NMEM,95.6%
Rosie the Riveter WWII Home Front NHP,95.6%
Ross Lake NRA,88.9%
Russell Cave NM,95.6%
Sagamore Hill NHS,95.6%
Saguaro NP,98.7%
Saint-Gaudens NHS,91.7%
Saint Croix Island IHS,95.6%
Saint Croix NSR,88.9%
Saint Paul's Church NHS,95.6%
Salem Maritime NHS,95.6%
Salinas Pueblo Missions NM,95.6%
Salt River Bay NHP&EP,95.6%
San Antonio Missions NHP,90.1%
San Francisco Maritime NHP,61.5%
San Juan Island NHP,95.6%
San Juan NHS,95.6%
Sand Creek Massacre NHS,95.6%
Santa Monica Mountains NRA,88.3%
Saratoga NHP,95.6%
Saugus Iron Works NHS,95.6%
Scotts Bluff NM,95.6%
Sequoia NP,97.7%
Shenandoah NP,98.8%
Shiloh NMP,95.6%
Sitka NHP,100.0%
Sleeping Bear Dunes NL,97.5%
Springfield Armory NHS,95.6%
Statue of Liberty NM,95.6%
Steamtown NHS,93.7%
Stones River NB,95.6%
Stonewall NM,–
Sunset Crater Volcano NM,95.6%
Tallgrass Prairie NPRES,95.6%
Thaddeus Kosciuszko NMEM,–
Theodore Roosevelt Birthplace NHS,95.6%
Theodore Roosevelt Inaugural NHS,95.6%
Theodore Roosevelt Island P,95.6%
Theodore Roosevelt NP,98.7%
Thomas Edison NHP,95.6%
Thomas Jefferson MEM,91.6%
Thomas Stone NHS,95.6%
Timpanogos Cave NM,95.6%
Timucuan EHP,95.6%
Tonto NM,95.6%
Tumacacori NHP,95.6%
Tuskegee Airmen NHS,95.6%
Tuskegee Institute NHS,95.6%
Tuzigoot NM,95.6%
Ulysses S Grant NHS,95.6%
Upper Delaware NSR&NRR,88.3%
Valles Caldera NPRES,98.7%
Valley Forge NHP,46.4%
Vanderbilt Mansion NHS,95.6%
Vicksburg NMP,95.6%
Vietnam Veterans MEM,91.6%
Virgin Islands NP,100.0%
Voyageurs NP,98.6%
Waco Mammoth NM,95.6%
Walnut Canyon NM,95.6%
War in the Pacific NHP,95.6%
Washington Monument,91.6%
Washita Battlefield NHS,95.6%
Weir Farm NHS,95.6%
Whiskeytown NRA,88.4%
White House,91.6%
White Sands NP,98.4%
Whitman Mission NHS,95.6%
William Howard Taft NHS,95.6%
Wilson's Creek NB,95.6%
Wind Cave NP,97.8%
Wolf Trap National Park for the Performing Arts,95.6%
Women's Rights NHP,100.0%
World War II Memorial,91.6%
World War II Valor in the Pacific NM,98.6%
Wrangell - St Elias NP&PRES,100.0%
Wright Brothers NMEM,95.6%
Wupatki NM,98.7%
Yellowstone NP,99.4%
Yosemite NP,96.7%
Yukon - Charley Rivers NPRES,100.0%
Zion NP,97.7%
