Park Unit Type,Abbreviation
Ecological & Historic Preserve,EHP
International Historic Site,IHS
Memorial,MEM
Memorial Parkway,MEM PKWY
National & State Parks,NP
National Battlefield,NB
National Battlefield Park,NBP
National Expansion Memorial,NEM
National Historic Site,NHS
National Historical Park,NHP
National Historic Park & Ecological Preserve,NHP&EP
National Historical Park and Preserve,NP&PRES
National Lakeshore,NL
National Memorial,NMEM
National Military Park,NMP
National Monument,NM
National Monument & Preserve,NM&PRES
National Monument and Historic Shrine,NM&SHRINE
National Park,NP
National Park & Preserve,NP&PRES
National Preserve,NPRES
National Recreation Area,NRA
National Recreational River,NRR
National Reserve,NRES
National River,NR
National River & Recreation Area,NRRA
National Scenic River/Riverway,NSR
National Seashore,NS
