Park Unit Ty,pe,,Abbreviation,
National Wild,and Scenic River,,W&SR,
Park,,,P,
Parkway,,,PKWY,
Scenic & Rec,reational River,,NSR&NRR,
Wild & Scenic,River,,W&SR,
able A-5. Vi,sitor Spending Effects vis,it a,llocation for multi-st,ate pa
Park Unit,,Sta,te,Share
Assateague Is,land NS,Mar,yland,33.0%
Assateague Is,land NS,Virg,inia,67.0%
Big South For,k NRRA,Ken,tucky,41.0%
Big South For,k NRRA,Ten,nessee,59.0%
Bighorn Cany,on NRA,Mo,ntana,54.0%
Bighorn Cany,on NRA,Wy,oming,46.0%
Blue Ridge P,KWY,Nor,th Carolina,62.0%
Blue Ridge P,KWY,Virg,inia,38.0%
Chesapeake,& Ohio Canal NHP,Dist,rict of,24.0%
,,Col,umbia,
Chesapeake,& Ohio Canal NHP,Mar,yland,76.0%
Chickamauga,& Chattanooga NMP,Ge,orgia,50.0%
Chickamauga,& Chattanooga NMP,Ten,nessee,50.0%
Cumberland G,ap NHP,Ken,tucky,93.0%
Cumberland G,ap NHP,Virg,inia,7.0%
Delaware Wa,ter Gap NRA,Ne,w Jersey,71.0%
Delaware Wa,ter Gap NRA,Pen,nsylvania,29.0%
Dinosaur NM,,Col,orado,74.0%
Dinosaur NM,,Uta,h,26.0%
Gateway NRA,,Ne,w Jersey,17.0%
Gateway NRA,,Ne,w York,83.0%
Glen Canyon,NRA,Ariz,ona,19.4%
Glen Canyon,NRA,Uta,h,80.6%
Great Smoky,Mountains NP,Nor,th Carolina,44.0%
