ab,l,e A-1 (co,n,"tinued). NPS visits, spendi","ng, and economic",contributions to local e,conomies – 202,0.,,
,,,,,To,tal Visitor,,,,Economic
,,,,Total,Recreation,Spending,Labor,Income Value,Added,Output
Par,k,Unit,,,Visits ($00,"0s, $2020)",Jobs ($000s,", $2020) ($000s",", $2020) ($00","0s, $2020)"
Fort,,Caroline N,,MEM,"404,476","$24,234",366,"$11,500","$19,833","$34,203"
Fort,,Davis NH,S,,"35,920","$2,152",30,$723,"$1,283","$2,327"
Fort,,Donelson,N,B,"325,496","$21,429",261,"$10,155","$17,023","$27,475"
Fort,,Frederica,N,M,"210,893","$12,636",184,"$5,753","$9,793","$16,806"
Fort,,Laramie N,H,S,"26,066","$1,562",23,$559,"$1,007","$1,848"
Fort,,Larned NH,,Sa,"21,895","$1,357",20,$444,$784,"$1,527"
Fort,,Matanzas,N,M,"543,590","$32,569",493,"$14,804","$25,720","$44,752"
Fort,,McHenry,N,M&SHRINE,"163,224","$9,779",130,"$5,250","$8,762","$13,793"
Fort,,Necessity,N,B,"199,802","$11,966",189,"$6,173","$10,069","$17,407"
Fort,,Point NHS,,,"884,537","$52,996",620,"$30,370","$48,135","$73,000"
Fort,,Pulaski N,M,,"357,971","$23,567",306,"$9,882","$17,443","$29,136"
Fort,,Raleigh N,H,S,"153,519","$9,198",137,"$3,812","$6,617","$11,760"
Fort,,Scott NHS,a,,"14,652",$268,4,$84,$136,$269
Fort,,Smith NH,S,,"67,575","$4,049",64,"$1,460","$2,662","$5,024"
Fort,,Stanwix N,M,a,"24,133","$1,363",18,$507,"$1,004","$1,659"
Fort,,Sumter N,M,,"365,132","$21,877",294,"$9,532","$16,678","$27,659"
Fort,,Union NM,a,,"5,335",$369,5,$141,$237,$415
Fort,,Union Tra,d,ing Post NHSa,"5,226",$429,5,$159,$250,$421
Fort,,Vancouve,r,NHS,"670,111","$40,149",576,"$20,844","$34,804","$57,999"
,a,For these,,"parks, results are based on a v",isitor survey at the de,signated park. For other,"parks, visitor cha",racteristics and spe,nding averages a,re from gen
,,profiles o,r,best available data.,,,,,,
,b,Trip chara,c,"teristic data, spending data, a",nd/or local area defini,tions were updated for th,ese parks in 202,0.,,
,c,Areas tha,t,were closed in 2020.,,,,,,
