Park Unit,Total Recreation Spending,Total Visits,Jobs,Labor Income Value,Added Output
Lyndon Baines Johnson Memorial,211228,12656,164,6780,11283,17666
Maggie L. Walker NHS,1849,111,2,50,87,151
Mammoth Cave NP,290392,25146,333,12307,21089,34507
Manassas NBP,558036,33434,429,17851,29754,46451
Manhattan Project (New Mexico),1517,91,1,37,62,107
Manhattan Project (Tennessee) NHP,9610,187,2,79,124,211
Manhattan Project (Washington) NHP,264,9,0,3,6,10
Manzanar NHSa,65288,7015,87,3034,4947,8160
Marsh - Billings - Rockefeller NHP,23537,1410,19,619,1098,1794
Martin Luther King Jr NHS,198158,11873,181,6345,10783,18073
Martin Luther King, Jr. MEM,1083671,21044,272,11471,19412,30369
Martin Van Buren NHS,11480,688,9,328,565,892
Mary McLeod Bethune Council,577,11,0,6,10,16
Mesa Verde NPa,287477,30196,425,11524,20724,37437
Minidoka (Idaho) NHS,4764,85,1,29,45,88
Minidoka (Washington) NHS,1983,119,1,41,79,130
Minute Man NHP,1083972,64945,853,36086,59302,93206
