,,Percent Visitor,Spending
Park Unit,,from Non-Loc,al Visitors
Abraham Linc,oln Birthplace,NHP,95.6%
Acadia NP,,,97.8%
Adams NHP,,,95.6%
African Burial,Ground NM,,95.6%
Agate Fossil B,eds NM,,99.3%
Alibates Flint,Quarries NM,,95.6%
Allegheny Por,tage Railroad,NHS,95.6%
Amistad NRA,,,88.4%
Andersonville,NHS,,95.6%
Andrew Johns,on NHS,,95.6%
Aniakchak NM,&PRES,,100.0%
Antietam NB,,,95.6%
Apostle Island,s NL,,98.4%
Appomattox C,ourt House N,HP,95.6%
Arches NP,,,100.0%
Arkansas Pos,t NMEM,,95.6%
Arlington Hou,"se, The Rober",t E. Lee,–
Memorial NM,EM,,
Assateague Is,land NS,,88.4%
Aztec Ruins N,M,,95.6%
Badlands NP,,,98.7%
Bandelier NM,,,98.7%
Belmont-Paul,Women's Equ,ality NM,91.6%
Bent's Old For,t NHS,,95.6%
Bering Land B,ridge NPRES,,100.0%
Big Bend NP,,,98.6%
Big Cypress N,PRES,,99.0%
Big Hole NB,,,98.8%
Big South For,k NRRA,,81.1%
Park Unit,,from Non-Loc,al Visitors
Kings Mountain,NMP,,90.0%
Klondike Gold R,ush AK,NHP,96.3%
Klondike Gold R,ush WA,NHP,95.6%
Knife River Indi,an Village,s NHS,95.6%
Kobuk Valley N,P,,100.0%
Korean War Ve,terans M,EM,91.6%
Lake Chelan N,RA,,94.4%
Lake Clark NP&,PRES,,100.0%
Lake Mead NR,A,,88.7%
Lake Meredith,NRA,,88.6%
Lake Roosevelt,NRA,,88.6%
Lassen Volcani,c NP,,98.8%
Lava Beds NM,,,95.3%
Lewis and Clark,NHP,,95.6%
Lincoln Boyhoo,d NMEM,,98.5%
Lincoln Home N,HS,,98.1%
Lincoln MEM,,,91.6%
Little Bighorn B,attlefield,NM,95.6%
Little River Can,yon NPR,ES,95.6%
Little Rock Cen,tral High,School NHS,95.6%
Longfellow NHS,,,95.6%
Lowell NHP,,,95.6%
Lyndon B John,son NHP,,95.6%
Lyndon Baines,Johnson,Memorial,95.6%
Grove on the P,otomac N,MEM,
Maggie L Walke,r NHS,,95.5%
Mammoth Cave,NP,,98.5%
Manassas NBP,,,95.6%
Manhattan Proj,ect (New,Mexico),95.6%
NHP,,,
