Total Visitor,Recreation Spending,Economic,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2021),Jobs ($000s, $2021),($000s, $2021),($000s, $2021)
Abraham Lincoln Birthplace NHP,251,188,"$16,352",250,"$8,167","$12,782","$23,813"
Acadia NP,4,069,098,"$486,056",6,841,"$236,009","$401,158","$702,038"
Adams NHP,20,679,"$1,346",17,$813,"$1,267","$2,047"
African Burial Ground NM,9,167,$597,7,$356,$579,$877
Agate Fossil Beds NM,18,264,"$1,517",20,$471,$819,"$1,625"
Alagnak WRc,262,$12,0,$5,$8,$13
Alibates Flint Quarries NM,9,526,$620,9,$259,$409,$796
Allegheny Portage Railroad NHS,187,919,"$12,233",177,"$6,557","$10,150","$17,947"
Amistad NRA,1,091,897,"$53,722",682,"$18,664","$29,635","$58,014"
Andersonville NHS,45,084,"$2,935",46,"$1,118","$1,914","$3,777"
Andrew Johnson NHS,63,720,"$4,148",59,"$1,933","$3,165","$5,749"
Aniakchak NM&PRESb,145,$319,4,$175,$284,$483
Antietam NB,110,544,"$7,195",90,"$4,083","$6,636","$10,688"
Apostle Islands NLa,290,961,"$50,884",705,"$19,737","$33,758","$63,754"
Appomattox Court House NHP,92,650,"$6,031",87,"$2,587","$4,316","$7,995"
Arches NPa,1,806,865,"$236,999",3,229,"$94,614","$160,803","$294,344"
Arkansas Post NMEM,26,043,"$1,696",23,$696,"$1,190","$2,171"
Arlington House, The Robert E. Lee Memorial NMEMc,4,781,$311,4,$176,$288,$461
Assateague Island NS,2,662,716,"$130,626",1,596,"$53,542","$87,636","$155,441"
Aztec Ruins NM,56,427,"$3,673",49,"$1,302","$2,318","$4,404"
Badlands NP,1,224,226,"$88,287",1,193,"$34,782","$61,008","$114,085"
Bandelier NM,270,716,"$18,963",254,"$7,852","$13,572","$24,794"
Belmont-Paul Women's Equality NMc,0,$0,0,$0,$0,$0
Bent's Old Fort NHS,21,585,"$1,405",19,$592,"$1,018","$1,818"
Bering Land Bridge NPRES,2,642,"$4,306",61,"$2,359","$3,763","$6,444"
Big Bend NP,581,220,"$53,078",726,"$20,472","$32,565","$61,238"
Big Cypress NPRES,2,563,810,"$227,772",2,986,"$116,395","$199,589","$338,156"
Big Hole NBa,31,734,"$2,498",32,$925,"$1,382","$2,768"
Big South Fork NRRAa,834,724,"$29,283",348,"$11,438","$18,581","$33,891"
Big Thicket NPRES,290,837,"$20,821",274,"$10,523","$16,519","$28,433"
Bighorn Canyon NRA,219,505,"$10,743",145,"$4,416","$6,748","$13,112"
Biscayne NP,705,655,"$50,551",658,"$25,625","$43,312","$73,538"
Craters of the Moon NM&PRESa,270,829,"$10,521",140,"$3,868","$6,490","$12,379"
Cumberland Gap NHP,814,119,"$57,767",775,"$26,091","$43,669","$78,283"
Cumberland Island NS,72,240,"$3,423",45,"$1,537","$2,554","$4,524"
Curecanti NRA,1,043,725,"$51,045",579,"$20,643","$34,259","$59,799"
Cuyahoga Valley NP,2,575,275,"$48,712",681,"$26,464","$41,878","$75,054"
Dayton Aviation Heritage NHPa,65,735,"$4,272",68,"$2,494","$3,991","$7,061"
De Soto NMEM,222,380,"$14,476",208,"$7,400","$12,390","$21,777"
Death Valley NP,1,146,551,"$104,182",1,228,"$51,126","$86,399","$138,262"
Delaware Water Gap NRA,4,340,902,"$163,399",2,290,"$108,567","$163,078","$260,070"
Denali NP&PRES,229,521,"$255,220",3,585,"$139,985","$224,864","$383,763"
Devils Postpile NM,145,387,"$10,437",127,"$4,730","$7,573","$13,030"
Devils Tower NM,550,712,"$39,420",522,"$15,650","$27,671","$51,310"
Dinosaur NM,359,560,"$24,331",278,"$9,412","$15,898","$27,699"
Dry Tortugas NP,83,817,"$5,696",61,"$2,294","$3,892","$6,456"
Dwight D. Eisenhower MEM,625,740,"$13,144",166,"$7,613","$12,598","$20,155"
Edgar Allan Poe NHSc,0,$0,0,$0,$0,$0
Effigy Mounds NMa,66,734,"$4,728",72,"$1,922","$3,162","$6,099"
Haleakala NP,853,181,"$61,017",598,"$27,256","$50,295","$76,667"
Hamilton Grange NMEM,29,096,"$1,894",21,"$1,127","$1,833","$2,770"
Hampton NHS,8,942,$583,7,$333,$539,$870
Harpers Ferry NHPa,309,901,"$16,761",228,"$10,237","$16,519","$26,554"
Harry S Truman NHS,12,148,$791,12,$423,$696,"$1,250"
Hawaii Volcanoes NP,1,262,747,"$117,162",1,218,"$54,541","$101,491","$153,928"
