Park Unit,Total Recreation Spending (000s, $2021),Total Visitor Jobs (000s, $2021),Economic Labor Income Value (000s, $2021),Economic Value Added (000s, $2021),Economic Output (000s, $2021)
Black Canyon of the Gunnison NP,"$21,401",250,"$9,270","$15,505","$26,676"
Blue Ridge PKWY,"$1,287,039","17,947","$530,834","$901,289","$1,675,447"
Bluestone NSR,"$1,315",17,"$512","$854","$1,584"
Booker T Washington NM,"$1,234",19,"$543","$911","$1,708"
Boston African American NHS,"$15,574",196,"$9,425","$14,695","$23,734"
Boston Harbor Islands NRA,"$1,023",12,"$575","$895","$1,450"
Boston NHP,"$71,491",900,"$43,274","$67,457","$108,943"
Brown V Board of Education NHS,"$593",9,"$313","$518","$930"
Bryce Canyon NP,"$194,832","2,693","$78,801","$135,874","$252,003"
Buck Island Reef NM,"$3,187",31,"$1,418","$2,612","$3,982"
Buffalo NR,"$74,321",994,"$27,992","$47,616","$89,818"
Cabrillo NM,"$44,502",564,"$24,397","$38,361","$62,489"
Camp Nelson NM,"$2,805",43,"$1,303","$2,048","$3,875"
Canaveral NS,"$89,972","1,168","$43,613","$74,117","$127,957"
Cane River Creole NHP,"$976",13,"$380","$662","$1,229"
Canyon De Chelly NM,"$13,826",182,"$4,764","$8,535","$16,341"
Canyonlands NP,"$62,875",777,"$22,784","$38,827","$71,270"
