"able A-3. NPS visits, spending",and economic contri,butions to state econo,mies – 2021.,,,
,To,tal Visitor,,,,
Total,Recreation,Spending,Labor,Income Valu,e Added Economi,c Output
State,Visits ($Millio,"ns, $2021)",Jobs ($Millions,", $2021) ($Millions",", $2021) ($Millions",", $2021)"
Alabama,"1,405,064",$74.8,"1,117",$31.6,$50.9,$98.6
Alaska,"1,001,956",$627.5,"9,138",$351.9,$546.7,$951.6
American Samoa,"8,495",$0.6,6,$0.3,$0.5,$0.7
Arizona,"10,683,595","$1,125.6","16,074",$627.6,"$1,059.2","$1,826.9"
Arkansas,"3,979,627",$248.4,"3,488",$95.3,$170.4,$322.0
California,"35,099,250","$2,385.4","30,220","$1,508.5","$2,411.4","$3,869.2"
Colorado,"7,819,153",$560.1,"7,571",$303.2,$504.6,$864.9
Connecticut,"31,512",$2.1,24,$1.2,$1.9,$2.9
District of Columbia,"28,599,634",$600.6,"5,293",$288.3,$464.2,$679.4
Florida,"13,442,113",$854.8,"11,916",$440.9,$753.0,"$1,313.4"
Georgia,"6,335,802",$362.3,"5,204",$182.3,$306.2,$541.5
Guam,"367,150",$23.9,247,$11.1,$20.0,$30.8
Hawaii,"3,864,447",$437.6,"4,612",$211.5,$401.2,$607.0
Idaho,"691,800",$37.6,535,$16.2,$27.0,$50.8
Illinois,"89,964",$6.1,81,$3.7,$5.9,$9.8
Indiana,"3,407,651",$169.9,"2,210",$74.2,$124.8,$221.3
Iowa,"136,577",$9.3,136,$4.0,$6.6,$12.3
Kansas,"101,079",$5.6,76,$2.4,$4.1,$7.4
Kentucky,"1,909,424",$132.8,"1,978",$61.9,$97.8,$183.2
