Spending Group,Sector,Sector Name,Weight
hotels,507,Hotels and motels,1.00
specialty lodging,508,Other accommodations,1.00
camping fees,508,Other accommodations,1.00
restaurants,509,Full-service restaurants,0.50
restaurants,510,Limited-service restaurants,0.50
groceries,3406,Retail – Food and beverage stores,1.00
gas,3408,Retail – Gasoline stores,1.00
local transportation,418,Transit and ground passenger transportation,0.25
local transportation,450,Automotive equipment rental and leasing,0.75
public transportation,418,Transit and ground passenger transportation,1.00
rental cars,450,Automotive equipment rental and leasing,1.00
local air transportation,414,Air transportation,1.00
local water transportation,416,Water transportation,1.00
scenic and sightseeing transportation,420,Scenic and sightseeing transportation and support activities for transportation,1.00
recreation and entertainment,504,Other amusement and recreation industries,1.00
guides and tour fees,504,Other amusement and recreation industries,1.00
equipment rental,451,General and consumer goods rental except video tapes and discs,1.00
sporting goods,3410,Retail – Sporting goods, hobby, musical instrument and book stores,1.00
souvenirs and other retail,3412,Retail – Miscellaneous store retailers,1.00
cruise package,416,Water transportation,0.45
cruise package,507,Hotels and motels,0.55
