Park Unit,Percent Visitor Spending from Non-Local Visitors
Abraham Lincoln Birthplace NHP,95.6%
Acadia NP,97.8%
Adams NHP,95.6%
African Burial Ground NM,95.6%
Agate Fossil Beds NM,99.2%
Alagnak WR,99.7%
Alibates Flint Quarries NM,95.6%
Allegheny Portage Railroad NHS,95.6%
Amistad NRA,88.0%
Andersonville NHS,95.6%
Andrew Johnson NHS,95.6%
Aniakchak NM&PRES,100.0%
Antietam NB,95.6%
Apostle Islands NL,98.4%
Appomattox Court House NHP,95.6%
Arches NP,100.0%
Arkansas Post NMEM,95.6%
Arlington House, The Robert E. Lee Memorial NMEM,95.6%
Assateague Island NS,88.1%
Aztec Ruins NM,95.6%
Badlands NP,98.7%
Bandelier NM,98.7%
Belmont-Paul Women's Equality NM,–
Bent's Old Fort NHS,95.6%
Bering Land Bridge NPRES,100.0%
Big Bend NP,98.5%
Big Cypress NPRES,99.0%
Big Hole NB,98.7%
Big South Fork NRRA,81.2%
Casa Grande Ruins NM,95.6%
Castillo De San Marcos NM,95.6%
Castle Clinton NM,60.8%
Catoctin Mountain P,98.7%
Cedar Breaks NM,98.7%
Cesar E. Chavez NM,95.6%
Chaco Culture NHP,98.8%
Chamizal NMEM,95.6%
Channel Islands NP,98.8%
Charles Pinckney NHS,95.6%
Charles Young Buffalo Soldiers NM,95.6%
Chattahoochee River NRA,88.0%
Chesapeake & Ohio Canal NHP,91.6%
Chickamauga & Chattanooga NMP,95.6%
Chickasaw NRA,61.8%
Chiricahua NM,98.8%
Christiansted NHS,95.6%
City Of Rocks NRES,95.6%
Clara Barton NHS,–
Colonial NHP,98.1%
Colorado NM,98.7%
Congaree NP,94.2%
Coronado NMEM,95.6%
Cowpens NB,98.6%
Crater Lake NP,98.4%
Craters Of The Moon NM&PRES,98.6%
Cumberland Gap NHP,98.7%
Cumberland Island NS,89.7%
Curecanti NRA,88.3%
Kings Canyon NP,98.6%
Kings Mountain NMP,89.7%
Klondike Gold Rush AK NHP,98.8%
Klondike Gold Rush WA NHP,95.6%
Knife River Indian Villages NHS,95.6%
Kobuk Valley NP,100.0%
Korean War Veterans MEM,91.6%
Lake Chelan NRA,94.0%
Lake Clark NP&PRES,100.0%
Lake Mead NRA,88.3%
Lake Meredith NRA,88.2%
Lake Roosevelt NRA,89.0%
Lassen Volcanic NP,98.8%
Lava Beds NM,95.3%
Lewis and Clark NHP,95.6%
Lincoln Boyhood NMEM,98.5%
Lincoln Home NHS,98.1%
Lincoln MEM,91.6%
Little Bighorn Battlefield NM,95.6%
Little River Canyon NPRES,95.6%
Little Rock Central High School NHS,95.6%
Longfellow NHS,95.6%
Lowell NHP,95.6%
Lyndon B Johnson NHP,95.6%
Lyndon Baines Johnson Memorial Grove on the Potomac NMEM,95.6%
Maggie L Walker NHS,95.6%
Mammoth Cave NP,98.4%
Manassas NBP,95.6%
Manhattan Project (New Mexico) NHP,95.6%
Natural Bridges NM,98.7%
Navajo NM,98.7%
New Bedford Whaling NHP,95.4%
New Orleans Jazz NHP,95.6%
New River Gorge NR,88.1%
Nez Perce NHP,95.6%
Nicodemus NHS,97.8%
Ninety Six NHS,95.6%
Niobrara NSR,99.8%
Noatak NPRES,100.0%
North Cascades NP,99.2%
Obed W&SR,74.7%
Ocmulgee NM,95.6%
Olympic NP,98.4%
Oregon Caves NM,98.3%
Organ Pipe Cactus NM,98.7%
Ozark NSR,88.7%
Padre Island NS,88.6%
Palo Alto Battlefield NHP,95.6%
Paterson Great Falls NHP,95.6%
Pea Ridge NMP,95.6%
Pecos NHP,95.6%
Pennsylvania Avenue NHS,–
Perry's Victory & International Peace MEM,89.7%
Petersburg NB,95.6%
Petrified Forest NP,98.6%
Petroglyph NM,95.6%
Pictured Rocks NL,88.3%
Pinnacles NP,98.7%
