Park Unit,Percent Visitor from Non-Local Visitors,Spending
Big Thicket NP,98.7%
Bighorn Canyon NRA,88.2%
Biscayne NP,98.7%
Black Canyon Of The Gunnison NP,98.7%
Blue Ridge PKWY,94.9%
Bluestone NSR,88.0%
Booker T Washington NM,95.6%
Boston African American NHS,95.6%
Boston Harbor Islands NRA,88.0%
Boston NHP,95.6%
Brown V Board Of Education NHS,95.6%
Bryce Canyon NP,98.3%
Buck Island Reef NM,98.7%
Buffalo NR,88.5%
Cabrillo NM,95.6%
Camp Nelson NM,95.6%
Canaveral NS,67.4%
Cane River Creole NHP,95.6%
Canyon De Chelly NM,98.8%
Canyonlands NP,98.7%
Cape Cod NS,97.9%
Cape Hatteras NS,98.7%
Cape Krusenstern NM,100.0%
Cape Lookout NS,88.1%
Capitol Reef NP,99.6%
Capulin Volcano NM,98.5%
Carl Sandburg Home NHS,95.6%
Carlsbad Caverns NP,98.6%
Carter G. Woodson Home NHS,–
Cuyahoga Valley NP,71.6%
Dayton Aviation Heritage NHP,92.6%
De Soto NMEM,95.6%
Death Valley NP,98.4%
Delaware Water Gap NRA,84.0%
Denali NP&PRES,100.0%
Devils Postpile NM,98.6%
Devils Tower NM,98.7%
Dinosaur NM,98.7%
Dry Tortugas NP,98.7%
Dwight D. Eisenhower MEM,91.6%
Edgar Allan Poe NHS,–
Effigy Mounds NM,95.7%
Eisenhower NHS,95.6%
El Malpais NM,95.6%
El Morro NM,98.7%
Eleanor Roosevelt NHS,95.6%
Eugene O'Neill NHS,95.6%
Everglades NP,97.3%
Federal Hall NMEM,95.6%
Fire Island NS,88.2%
First Ladies NHS,95.6%
Flight 93 NMEM,95.6%
Florissant Fossil Beds NM,95.6%
Ford's Theatre NHS,91.6%
Fort Bowie NHS,95.6%
Fort Caroline NMEM,95.6%
Fort Davis NHS,95.6%
Fort Donelson NB,98.6%
George Washington Birthplace NM,95.1%
George Washington Carver NM,95.1%
George Washington MEM PKWY,10.4%
Gettysburg NMP,98.6%
Gila Cliff Dwellings NM,95.6%
Glacier Bay NP&PRES,98.4%
Glacier NP,94.3%
Glen Canyon NRA,96.1%
Golden Gate NRA,87.1%
Golden Spike NHS,97.8%
Governors Island NM,95.6%
Grand Canyon NP,98.9%
Grand Portage NM,98.6%
Grand Teton NP,98.9%
Grant-Kohrs Ranch NHS,95.6%
Great Basin NP,98.9%
Great Sand Dunes NP&PRES,98.7%
Great Smoky Mountains NP,98.3%
Greenbelt P,98.7%
Guadalupe Mountains NP,98.7%
Guilford Courthouse NMP,95.6%
Gulf Islands NS,88.1%
Hagerman Fossil Beds NM,95.5%
Haleakala NP,98.7%
Hamilton Grange NMEM,95.6%
Hampton NHS,95.6%
Harpers Ferry NHP,92.1%
Harry S Truman NHS,95.5%
Hawaii Volcanoes NP,98.3%
Herbert Hoover NHS,95.6%
Home Of Franklin D Roosevelt NHS,95.6%
Homestead NM,93.5%
Hopewell Culture NHP,95.6%
Hopewell Furnace NHS,95.6%
Horseshoe Bend NMP,95.6%
Hot Springs NP,98.7%
Hovenweep NM,98.7%
Hubbell Trading Post NHS,95.6%
Independence NHP,95.6%
Indiana Dunes NL,88.0%
Isle Royale NP,100.0%
James A Garfield NHS,91.7%
Jean Lafitte NP&PRES,95.6%
Jewel Cave NM,95.6%
Jimmy Carter NHS,95.6%
John D Rockefeller Jr MEM PKWY,93.8%
John Day Fossil Beds NM,98.6%
John F Kennedy NHS,–
John Muir NHS,95.6%
Johnstown Flood NMEM,91.6%
Joshua Tree NP,98.9%
Kalaupapa NHP,95.6%
Kaloko-Honokohau NHP,95.6%
Katahdin Woods and Waters NM,98.7%
Katmai NP&PRES,100.0%
Kenai Fjords NP,100.0%
Kennesaw Mountain NBP,95.6%
Keweenaw NHP,95.6%
Pipe Spring NM,95.6%
Pipestone NM,95.6%
Piscataway P,95.6%
Point Reyes NS,88.1%
Port Chicago Naval Magazine NMEM,95.4%
President's Park,91.6%
President William Jefferson Clinton Birthplace Home NHS,95.6%
Prince William Forest P,98.7%
Pu`uhonua O Honaunau NHP,95.6%
Puukohola Heiau NHS,95.6%
Rainbow Bridge NM,95.6%
Redwood NP,98.7%
Richmond NBP,95.6%
Rio Grande W&SR,100.0%
River Raisin NB,95.6%
Rock Creek P,91.6%
Rocky Mountain NP,96.8%
Roger Williams NMEM,95.6%
Rosie the Riveter WWII Home Front NHP,95.6%
Ross Lake NRA,88.9%
Russell Cave NM,95.6%
Sagamore Hill NHS,95.6%
Saguaro NP,98.7%
Saint-Gaudens NHS,91.7%
Saint Croix Island IHS,95.6%
Saint Croix NSR,88.5%
Saint Paul's Church NHS,95.5%
Salem Maritime NHS,95.6%
Salinas Pueblo Missions NM,95.6%
Salt River Bay NHP&EP,95.6%
San Antonio Missions NHP,90.0%
San Francisco Maritime NHP,60.8%
San Juan Island NHP,95.6%
San Juan NHS,95.6%
Sand Creek Massacre NHS,95.6%
Santa Monica Mountains NRA,88.0%
Saratoga NHP,95.6%
Saugus Iron Works NHS,95.6%
Scotts Bluff NM,95.6%
Sequoia NP,97.7%
Shenandoah NP,98.8%
Shiloh NMP,95.6%
Sitka NHP,100.0%
Sleeping Bear Dunes NL,97.5%
Springfield Armory NHS,95.6%
Statue Of Liberty NM,95.6%
Steamtown NHS,93.8%
Stones River NB,95.6%
Stonewall NM,95.6%
Sunset Crater Volcano NM,95.6%
Tallgrass Prairie NPRES,95.6%
Thaddeus Kosciuszko NMEM,–
Theodore Roosevelt Birthplace NHS,95.7%
Theodore Roosevelt Inaugural NHS,95.6%
Theodore Roosevelt Island P,95.6%
Theodore Roosevelt NP,98.7%
Thomas Edison NHP,95.6%
Thomas Jefferson MEM,91.6%
Thomas Stone NHS,95.5%
Timpanogos Cave NM,95.6%
Timucuan EHP,95.6%
Tonto NM,95.6%
Tule Springs Fossil Beds NM,95.6%
Tumacacori NHP,95.6%
Tuskegee Airmen NHS,95.6%
Tuskegee Institute NHS,95.6%
Tuzigoot NM,95.6%
Ulysses S Grant NHS,95.6%
Upper Delaware NSR&NRR,88.0%
