ab,le A-1 (co,ntinued). NP,"S visits, spending, an",d economic contri,butions to local ec,onomies – 2022.,,,
,,,,Total To,tal Visitor,,,,Economic
,,,,Recreation,Spending,Labo,r Income Valu,e Added,Output
Par,k Unit,,,Visits ($00,"0s, $2022)",Jobs ($000,"s, $2022) ($000","s, $2022) ($00","0s, $2022)"
Arc,"hes NP a,b",,,"1,460,652","$274,172","3,558","$112,310","$188,653","$335,174"
Ark,ansas Post,NMEM,,"22,791","$1,505",20,$617,"$1,054","$1,927"
Arli,ngton Hous,"e, The Robert",E. Lee Memorial,"306,686","$20,251",249,"$11,448","$18,706","$29,992"
NM,EM,,,,,,,,
Ass,ateague Isl,and NS,,"2,340,269","$116,445","1,414","$47,671","$78,036","$138,624"
Azt,ec Ruins N,M,,"50,396","$3,328",44,"$1,178","$2,097","$3,990"
Bad,lands NP,,,"1,006,809","$73,746",991,"$29,025","$50,916","$95,334"
Ban,delier NM,,,"210,941","$15,018",200,"$6,212","$10,742","$19,649"
Bel,mont-Paul,Women's Equa,lity NM c,0,$0,0,$0,$0,$0
Ben,t's Old Fort,NHS,,"26,057","$1,720",23,$723,"$1,244","$2,226"
Beri,ng Land Br,idge NPRES,,"2,642","$4,363",61,"$2,388","$3,810","$6,529"
Big,Bend NP,,,"514,107","$48,061",655,"$18,559","$29,560","$55,676"
Big,Cypress N,PRES,,"2,903,159","$261,407","3,403","$133,394","$228,749","$387,985"
Big,Hole NB a,,,"54,781","$4,371",56,"$1,618","$2,416","$4,845"
Big,South Fork,NRRA a,,"797,726","$28,195",333,"$10,978","$17,840","$32,603"
Big,Thicket NP,RES,,"276,788","$20,113",263,"$10,153","$15,942","$27,473"
Big,horn Canyo,n NRA,,"217,660","$10,805",145,"$4,436","$6,780","$13,194"
,a For these,"parks, results",are based on a visitor s,urvey at the designat,ed park. For other p,"arks, visitor charac",teristics and spend,ing averages are,from gene
,profiles or,best available,data.,,,,,,
,b Trip chara,"cteristic data,","spending data, and/or lo",cal area definitions,were updated for the,se parks in 2022.,,,
,c Area was,closed for one,or more months in 2022,.,,,,,
