Park Unit,Recreation Visits,Total Visitor Spending,Jobs,Labor Income Value,Added,Output
Hagerman Fossil Beds NM,25122,$1659,23,$766,$1269,$2316
Haleakala NP,1087616,$78419,764,$34951,$64475,$98412
Hamilton Grange NMEM,45198,$2985,32,$1773,$2884,$4363
Hampton NHS,12506,$826,10,$471,$763,$1233
Harpers Ferry NHP,407008,$22339,302,$13616,$21971,$35369
Harry S Truman NHS,21471,$1417,21,$757,$1246,$2241
Hawaii Volcanoes NP,1580961,$148615,1534,$69074,$128524,$195158
Herbert Hoover NHS,103804,$6855,101,$2940,$4878,$9144
Home Of Franklin D Roosevelt NHS,100665,$6648,78,$3670,$5891,$9409
Homestead NM,47614,$1802,24,$655,$1101,$2097
Hopewell Culture NHP,51850,$3424,50,$1836,$2941,$5216
Hopewell Furnace NHS,57238,$3780,53,$2288,$3564,$5991
Horseshoe Bend NMP,67773,$4475,68,$1993,$3265,$6203
Hot Springs NP,2646133,$191724,2713,$75533,$137087,$257732
Hovenweep NM,28446,$2028,26,$761,$1341,$2482
Hubbell Trading Post NHS,50017,$3302,45,$1164,$2029,$3914
Independence NHP,2688302,$177513,2442,$108821,$168972,$281598
