ab,le A-1 (continue,d). NP,"S visits, spending, an",d economic contri,butions to local ec,onomies – 2022.,,,
,,,,Total To,tal Visitor,,,,Economic
,,,,Recreation,Spending,Labor,Income Valu,e Added,Output
Par,k Unit,,,Visits ($00,"0s, $2022)",Jobs ($000s,", $2022) ($000","s, $2022) ($00","0s, $2022)"
Indi,ana Dunes NL,,,"2,834,180","$141,327","1,685","$80,203","$127,743","$208,509"
Isle,"Royale NP a,b,c",,,"25,454","$10,368",120,"$3,314","$5,809","$12,738"
Jam,es A Garfield NHS,a,,"32,173","$1,305",19,$723,"$1,126","$2,019"
Jea,n Lafitte NP&PRE,S,,"269,748","$17,812",247,"$8,053","$13,635","$24,420"
Jew,el Cave NM,,,"119,343","$7,880",109,"$3,205","$5,556","$10,389"
Jim,my Carter NHS,,,"35,308","$2,331",36,$887,"$1,516","$2,985"
Joh,n D Rockefeller Jr,MEM P,KWY,"1,091,196","$8,964",110,"$4,146","$6,344","$10,688"
Joh,n Day Fossil Beds,NM a,,"165,201","$9,093",110,"$3,896","$6,208","$11,167"
Joh,n F Kennedy NHS,c,,100,$7,0,$4,$6,$10
Joh,n Muir NHS,,,"38,878","$2,567",27,"$1,522","$2,341","$3,601"
Joh,nstown Flood NME,M a,,"148,142","$10,354",156,"$5,727","$8,877","$15,872"
Jos,hua Tree NP a,,,"3,058,294","$171,013","2,037","$77,112","$124,692","$209,054"
Kal,aupapa NHP,,,"38,771","$2,560",26,"$1,191","$2,138","$3,300"
Kal,oko-Honokohau N,HP,,"291,342","$19,238",198,"$8,947","$16,069","$24,797"
Kat,ahdin Woods and,Waters,NM,"43,231","$3,097",41,"$1,253","$2,168","$3,960"
Kat,mai NP&PRES c,,,"33,908","$55,973",785,"$30,636","$48,885","$83,763"
Ken,ai Fjords NP,,,"389,943","$76,465","1,320","$47,578","$64,499","$116,680"
,"a For these parks,",results,are based on a visitor s,urvey at the designat,ed park. For other p,"arks, visitor charact",eristics and spend,ing averages are,from gene
,profiles or best a,vailable,data.,,,,,,
,b Trip characteristi,"c data,","spending data, and/or lo",cal area definitions,were updated for the,se parks in 2022.,,,
,c Area was closed,for one,or more months in 2022,.,,,,,
