ab,le A-1,(continued). NPS,"visits, spending, an",d economic contri,butions to local ec,onomies – 2022.,,,
,,,,Total To,tal Visitor,,,,Economic
,,,,Recreation,Spending,Labor,Income Valu,e Added,Output
Par,k Unit,,,Visits ($00,"0s, $2022)",Jobs ($000s,", $2022) ($000","s, $2022) ($00","0s, $2022)"
Linc,oln Bo,yhood NMEM a,,"105,819","$5,649",87,"$2,861","$4,496","$8,210"
Linc,oln Ho,me NHS a,,"145,144","$9,926",138,"$4,152","$7,250","$13,211"
Linc,oln ME,M,,"7,825,397","$166,756","2,086","$96,417","$159,561","$255,608"
Littl,e Bigho,rn Battlefield NM,,"168,433","$11,121",163,"$5,046","$7,602","$14,679"
Littl,e River,Canyon NPRES,,"726,239","$47,955",707,"$21,358","$35,365","$65,582"
Littl,e Rock,Central High School,NHS,"92,108","$6,082",90,"$2,521","$4,482","$8,449"
Lon,gfellow,NHS,,"60,558","$3,998",50,"$2,415","$3,765","$6,094"
Low,ell NH,P,,"209,284","$13,819",173,"$8,330","$13,001","$21,041"
Lyn,don B J,ohnson NHP,,"87,386","$5,770",85,"$3,075","$4,809","$8,718"
Lyn,don Ba,ines Johnson Memor,ial Grove on,"242,325","$16,000",197,"$9,045","$14,780","$23,697"
the,Potoma,c NMEM,,,,,,,
Mag,gie L,Walker NHS,,"4,815",$318,5,$151,$253,$454
Ma,mmoth,Cave NP,,"663,147","$62,024",828,"$32,923","$52,970","$89,639"
Man,assas,NBP,,"532,727","$35,177",428,"$19,763","$32,323","$51,676"
Man,hattan,Project (New Mexico,) NHP,"9,616",$635,8,$266,$439,$767
Man,hattan,Project (Tennessee),NHP,"10,546",$227,3,$98,$152,$278
Man,hattan,Project (Washington,) NHP c,"7,103",$264,3,$103,$184,$303
,a For th,"ese parks, results ar",e based on a visitor s,urvey at the designat,ed park. For other p,"arks, visitor charact",eristics and spend,ing averages are,from gene
,profil,es or best available d,ata.,,,,,,
,b Trip c,"haracteristic data, sp","ending data, and/or lo",cal area definitions,were updated for the,se parks in 2022.,,,
