Park Unit,Total Recreation,Total Visitor Spending,Labor Income,Value Added,Output
Moores Creek NB,53681,$3904,52,$1484,$2640,$4846
Morristown NHP,245231,$5298,47,$2721,$4381,$6387
Mount Rainier NP,1622395,$67234,687,$32128,$56333,$87612
Mount Rushmore NMEM,2440449,$385563,5694,$185853,$311230,$551293
Muir Woods NM,798625,$98253,910,$62655,$96686,$138003
Natchez NHP,64691,$4272,59,$1746,$2971,$5484
Natchez Trace PKWY,6543533,$474052,5659,$243050,$392405,$640352
National Capital Parks Central,920643,$88584,1186,$56351,$90394,$137836
National Capital Parks East,1267873,$27017,348,$15639,$25929,$41979
National Park of American Samoa,1887,$125,1,$58,$104,$161
Natural Bridges NM,71249,$5028,58,$1955,$3296,$5797
Navajo NM,41118,$2899,34,$1125,$1889,$3324
New Bedford Whaling NHP,13570,$810,11,$520,$801,$1297
New Orleans Jazz NHP,37410,$2470,34,$1163,$1958,$3470
New River Gorge NR,1593523,$79328,1044,$30951,$51655,$96080
Nez Perce NHP,344517,$22749,288,$9657,$17138,$29683
Nicodemus NHS,5307,$333,4,$96,$178,$328
