Park Unit,Recreation Visits,Spending (2022 $000s),Jobs (2022),Labor Income (2022 $000s),Value Added (2022 $000s),Output (2022 $000s)
Rainbow Bridge NM,81,5,0,2,3,6
Reconstruction Era NHP,18262,1206,15,470,838,1424
Redwood NP,458400,32830,428,15247,23520,41991
Richmond NBP,173124,11432,164,5371,9071,16434
Rio Grande W&SR,263,242,4,99,147,302
River Raisin NB,241998,15979,216,8473,13762,23630
Rock Creek P,2026156,43176,544,25012,41369,66437
Rocky Mountain NP,4300424,583794,8082,351160,566000,911894
Roger Williams NMEM,33838,2235,28,1323,2082,3355
Rosie the Riveter WWII Home Front NHP,37359,2467,26,1463,2250,3459
Ross Lake NRA,998019,50572,469,23594,40625,61901
Russell Cave NM,16988,1122,16,474,774,1447
Sagamore Hill NHS,91735,6057,64,3581,5831,8756
Saguaro NP,908194,66012,876,34400,58183,99981
Saint-Gaudens NHS,25513,1412,19,864,1357,2204
Saint Croix Island IHS,12139,801,11,349,580,1043
Saint Croix NSR,833773,41088,544,20813,33734,59329
