Park Unit,Total Recreation Visits,Total Visitor Spending,Labor,Income Value,Added,Output
Saint Paul's Church NHS,8790,$581,6,$344,$560,$843
Salem Maritime NHS,392836,$25940,322,$15801,$24569,$39545
Salinas Pueblo Missions NM,37190,$2456,34,$1045,$1770,$3246
Salt River Bay NHP&EP,12155,$803,8,$373,$671,$1035
San Antonio Missions NHP,1238920,$98296,1538,$53164,$85422,$155220
San Francisco Maritime NHP,3034750,$86772,803,$43339,$66017,$102967
San Juan Island NHP,700325,$46243,468,$22966,$39892,$60999
San Juan NHS,1027264,$67832,697,$31547,$56659,$87432
Sand Creek Massacre NHS,4772,$315,4,$92,$172,$335
Santa Monica Mountains NRA,795217,$39708,462,$22152,$34853,$56592
Saratoga NHP,70742,$4671,59,$2108,$3597,$6126
Saugus Iron Works NHS,27478,$1814,23,$1103,$1718,$2768
Scotts Bluff NM,174651,$11533,153,$4415,$7376,$13728
Sequoia NP,1153198,$96798,1157,$43636,$70315,$117862
Shenandoah NP,1449300,$104152,1239,$55478,$90656,$145464
Shiloh NMP,387205,$25567,358,$9355,$15804,$30531
Sitka NHP,134451,$26014,450,$16214,$21923,$39698
