State,Total Recreation Visits,Total Visitor Spending ($Millions),Jobs,Labor Income ($Millions),Value Added ($Millions),Economic Output ($Millions)
Alabama,"1,294,952",$88.4,"1,340",$39.0,$63.3,$121.2
Alaska,"2,023,881","$1,160.6","16,450",$646.5,"$1,006.9","$1,785.8"
American Samoa,"1,887",$0.1,1,$0.1,$0.1,$0.2
Arizona,"10,276,078","$1,151.7","16,418",$644.8,"$1,089.4","$1,880.1"
Arkansas,"4,279,263",$278.2,"3,895",$106.9,$191.4,$362.0
California,"38,237,342","$2,747.5","34,935","$1,750.5","$2,794.6","$4,489.9"
Colorado,"7,434,362",$803.6,"11,312",$476.5,$777.6,"$1,291.4"
Connecticut,"37,977",$2.5,29,$1.5,$2.3,$3.6
Florida,"14,399,362",$947.5,"13,149",$489.0,$835.6,"$1,458.7"
Georgia,"6,616,113",$381.9,"5,438",$191.6,$321.8,$569.9
Guam,"380,578",$25.1,258,$11.7,$21.0,$32.4
Hawaii,"4,887,315",$566.1,"5,931",$273.4,$519.0,$786.0
Idaho,"696,380",$39.4,558,$17.0,$28.3,$53.4
Illinois,"145,144",$9.9,131,$6.0,$9.7,$16.0
Indiana,"3,063,228",$155.1,"2,007",$67.7,$113.9,$202.2
Iowa,"160,226",$10.9,160,$4.7,$7.8,$14.6
Kansas,"98,739",$5.4,72,$2.3,$3.9,$7.1
Kentucky,"1,953,748",$113.8,"1,686",$53.4,$84.6,$157.5
Louisiana,"321,969",$21.3,294,$9.4,$16.0,$28.8
Maine,"4,025,630",$482.7,"6,919",$256.9,$438.1,$758.6
Maryland,"5,802,513",$199.3,"2,361",$104.1,$172.1,$276.3
Massachusetts,"8,217,575",$828.3,"10,136",$520.6,$820.8,"$1,300.6"
Michigan,"2,709,509",$254.8,"3,498",$129.9,$221.0,$384.3
Minnesota,"1,113,346",$67.8,924,$34.6,$56.7,$100.1
Mississippi,"6,895,440",$469.8,"6,678",$190.0,$324.5,$610.1
Missouri,"3,276,543",$198.7,"3,066",$107.8,$172.5,$311.7
Montana,"4,951,583",$621.1,"9,460",$313.8,$479.0,$917.9
Nebraska,"318,693",$22.7,334,$11.3,$18.3,$33.2
Nevada,"4,393,768",$224.1,"2,357",$101.7,$175.7,$283.4
New Hampshire,"25,513",$1.4,19,$0.9,$1.4,$2.2
New Jersey,"5,352,036",$192.1,"2,703",$119.2,$177.4,$295.9
New Mexico,"2,261,573",$139.3,"1,836",$55.0,$94.1,$174.0
New York,"16,791,242",$704.7,"7,241",$368.5,$616.4,$940.3
North Carolina,"20,084,660","$2,480.0","37,485","$1,469.0","$2,339.2","$3,959.2"
North Dakota,"690,718",$49.5,632,$19.9,$33.9,$62.3
Ohio,"3,208,030",$77.7,"1,124",$43.4,$68.4,$122.8
Oklahoma,"1,468,188",$28.8,280,$9.0,$14.5,$28.0
Oregon,"1,045,307",$85.5,"1,190",$47.6,$75.0,$128.9
Pennsylvania,"7,612,459",$385.2,"5,742",$228.3,$345.3,$603.5
Puerto Rico,"1,027,264",$67.8,697,$31.5,$56.7,$87.4
Rhode Island,"33,838",$2.2,29,$1.1,$1.9,$3.1
South Carolina,"1,180,113",$72.7,959,$31.0,$54.5,$96.2
South Dakota,"4,412,957",$535.5,"7,431",$254.4,$420.9,$738.1
Tennessee,"10,407,084","$1,368.6","19,652",$811.9,"$1,278.2","$2,113.9"
Texas,"5,413,161",$325.2,"4,545",$174.2,$275.5,$493.1
Utah,"13,554,654","$1,656.1","23,312",$863.0,"$1,486.4","$2,597.7"
Vermont,"63,956",$4.2,54,$1.9,$3.2,$5.6
Virginia,"22,507,067","$1,246.9","17,662",$636.8,"$1,075.0","$1,880.5"
Washington,"8,043,387",$524.9,"5,693",$257.9,$458.6,$722.0
West Virginia,"2,178,154",$110.5,"1,473",$43.8,$72.7,$133.8
Wisconsin,"671,838",$65.8,952,$31.7,$51.7,$94.7
Wyoming,"6,148,010",$870.0,"11,538",$380.0,$631.1,"$1,127.7"
