Park Unit,Non-Local Visitors
Abraham Lincoln Birthplace NHP,95.6%
Acadia NP,97.8%
Adams NHP,95.6%
African Burial Ground NM,95.6%
Agate Fossil Beds NM,99.2%
Alagnak WR,100.0%
Alibates Flint Quarries NM,95.6%
Allegheny Portage Railroad NHS,95.6%
Amistad NRA,88.0%
Andersonville NHS,95.6%
Andrew Johnson NHS,95.6%
Aniakchak NM&PRES,100.0%
Antietam NB,95.6%
Apostle Islands NL,98.4%
Appomattox Court House NHP,95.6%
Arches NP,99.9%
Arkansas Post NMEM,95.6%
Arlington House, The Robert E. Lee Memorial NMEM,95.6%
Assateague Island NS,88.1%
Aztec Ruins NM,95.6%
Badlands NP,98.7%
Bandelier NM,98.7%
Belmont-Paul Women's Equality NM,–
Bent's Old Fort NHS,95.6%
Bering Land Bridge NPRES,100.0%
Big Bend NP,98.5%
Big Cypress NPRES,99.0%
Big Hole NB,98.7%
Big South Fork NRRA,80.9%
Korean War Veterans MEM,93.9%
Lake Chelan NRA,94.9%
Lake Clark NP&PRES,100.0%
Lake Mead NRA,88.5%
Lake Meredith NRA,14.3%
Lake Roosevelt NRA,88.8%
Lassen Volcanic NP,98.8%
Lava Beds NM,95.3%
Lewis and Clark NHP,95.6%
Lincoln Boyhood NMEM,98.5%
Lincoln Home NHS,98.1%
Lincoln MEM,91.6%
Little Bighorn Battlefield NM,95.6%
Little River Canyon NPRES,95.6%
Little Rock Central High School NHS,95.6%
Longfellow NHS,95.6%
Lowell NHP,95.6%
Lyndon B Johnson NHP,95.6%
Lyndon Baines Johnson Memorial Grove on the Potomac NMEM,95.6%
Maggie L Walker NHS,95.6%
Mammoth Cave NP,98.4%
Manassas NBP,95.6%
Manhattan Project (New Mexico) NHP,95.6%
Manhattan Project (Tennessee) NHP,57.5%
Manhattan Project (Washington) NHP,80.3%
Manzanar NHS,99.2%
Marsh - Billings - Rockefeller NHP,95.6%
Martin Luther King Jr NHS,95.6%
Martin Luther King, Jr. MEM,91.6%
