,Percent Visitor Spendi,ng from
Park Unit,Non-Local,Visitors
Big Thicket NP,RES,98.7%
Bighorn Canyo,n NRA,88.2%
Biscayne NP,,98.7%
Black Canyon,Of The Gunnison NP,98.7%
Blue Ridge PK,WY,94.9%
Bluestone NSR,,88.0%
Booker T Wash,ington NM,95.6%
Boston African,American NHS,95.6%
Boston Harbor,Islands NRA,88.0%
Boston NHP,,95.6%
Brown V Board,Of Education NHS,95.6%
Bryce Canyon,NP,99.2%
Buck Island Re,ef NM,98.7%
Buffalo NR,,88.6%
Cabrillo NM,,95.6%
Camp Nelson N,M,95.6%
Canaveral NS,,67.4%
Cane River Cre,ole NHP,95.6%
Canyon De Ch,elly NM,98.8%
Canyonlands N,P,99.4%
Cape Cod NS,,97.9%
Cape Hatteras,NS,95.4%
Cape Krusenst,ern NM,100.0%
Cape Lookout,NS,88.4%
Capitol Reef N,P,99.1%
Capulin Volcan,o NM,98.5%
Carl Sandburg,Home NHS,95.6%
Carlsbad Cave,rns NP,98.6%
Carter G. Wood,son Home NHS a,–
Casa Grande R,uins NM,95.6%
Park Unit,Non-Local,Visitors
Castillo De San,Marcos NM,95.6%
Castle Clinton N,M,60.8%
Catoctin Mount,ain P,36.6%
Cedar Breaks N,M,98.7%
Cesar E. Chave,z NM,95.6%
Chaco Culture,NHP,98.9%
Chamizal NME,M,95.6%
Channel Island,s NP,98.8%
Charles Pinckn,ey NHS,95.6%
Charles Young,Buffalo Soldiers NM,95.6%
Chattahoochee,River NRA,88.0%
Chesapeake &,Ohio Canal NHP,91.6%
Chickamauga &,Chattanooga NMP,95.6%
Chickasaw NR,A,61.3%
Chiricahua NM,,98.8%
Christiansted N,HS,95.6%
City Of Rocks N,RES,95.6%
Clara Barton N,HS,95.6%
Colonial NHP,,98.1%
Colorado NM,,98.7%
Congaree NP,,94.2%
Coronado NME,M,95.6%
Cowpens NB,,98.6%
Crater Lake NP,,98.4%
Craters Of The,Moon NM&PRES,98.6%
Cumberland Ga,p NHP,89.7%
Cumberland Isl,and NS,89.8%
Curecanti NRA,,88.2%
Cuyahoga Valle,y NP,71.6%
Dayton Aviation,Heritage NHP,92.6%
Park Unit,Non-Local,Visitors
De Soto NM,EM,95.6%
Death Valley,NP,98.4%
Delaware W,ater Gap NRA,84.0%
Denali NP&,PRES,100.0%
Devils Postp,ile NM,98.6%
Devils Towe,r NM,98.7%
Dinosaur NM,,98.8%
Dry Tortuga,s NP,98.7%
Dwight D. Ei,senhower MEM,91.6%
Edgar Allan,Poe NHS,95.6%
Effigy Moun,ds NM,95.7%
Eisenhower,NHS,95.6%
El Malpais N,M,95.6%
El Morro NM,,98.7%
Eleanor Roo,sevelt NHS,95.6%
Eugene O'N,eill NHS,95.6%
Everglades,NP,97.3%
Federal Hall,NMEM,95.6%
Fire Island N,S,88.2%
First Ladies,NHS,95.6%
Flight 93 NM,EM,95.6%
Florissant F,ossil Beds NM,95.6%
Ford's Theat,re NHS,91.6%
Fort Bowie N,HS,95.7%
Fort Carolin,e NMEM,95.6%
Fort Davis N,HS,95.6%
Fort Donels,on NB,98.6%
Fort Frederi,ca NM,95.6%
Fort Laramie,NHS,97.4%
Fort Larned,NHS,97.8%
Park Unit,Non-Local,Visitors
Fort Matanzas NM,,95.6%
Fort McHenry NM&S,HRINE,95.6%
Fort Necessity NB,,95.6%
Fort Point NHS,,95.6%
Fort Pulaski NM,,98.6%
Fort Raleigh NHS,,95.6%
Fort Scott NHS,,75.1%
Fort Smith NHS,,95.6%
Fort Stanwix NM,,96.9%
Fort Sumter NM,,95.6%
Fort Union NM,,99.8%
Fort Union Trading P,ost NHS,97.1%
Fort Vancouver NHS,,95.6%
Fort Washington P,,95.6%
Fossil Butte NM,,100.0%
Franklin Delano Roo,sevelt MEM,91.6%
Frederick Douglass,NHS,91.0%
Frederick Law Olmst,ed NHS,95.6%
Fredericksburg & Sp,otsylvania NMP,95.6%
Friendship Hill NHS,,95.6%
Gates Of The Arctic,NP&PRES,100.0%
Gateway Arch NP,,94.5%
Gateway NRA,,65.3%
Gauley River NRA,,88.3%
General Grant NME,M,83.1%
George Rogers Clar,k NHP,95.6%
George Washington,Birthplace NM,95.1%
George Washington,Carver NM,95.1%
George Washington,MEM PKWY,10.4%
Gettysburg NMP,,98.6%
Park Unit,Non-Local,Visitors
Gila Cliff Dwelling,s NM,95.6%
Glacier Bay NP&,PRES,98.8%
Glacier NP,,94.1%
Glen Canyon NR,A,96.4%
Golden Gate NRA,,88.5%
Golden Spike NH,S,97.8%
Governors Island,NM,95.6%
Grand Canyon N,P,98.9%
Grand Portage N,M,98.7%
Grand Teton NP,,98.6%
Grant-Kohrs Ranc,h NHS,95.6%
Great Basin NP,,98.8%
Great Sand Dune,s NP&PRES,99.4%
Great Smoky Mou,ntains NP,95.2%
Greenbelt P,,98.7%
Guadalupe Mount,ains NP,97.6%
Guilford Courthou,se NMP,95.6%
Gulf Islands NS,,88.1%
Hagerman Fossil,Beds NM,95.6%
Haleakala NP,,98.7%
Hamilton Grange,NMEM,95.6%
Hampton NHS,,95.6%
Harpers Ferry NH,P,92.1%
Harry S Truman N,HS,95.6%
Hawaii Volcanoes,NP,98.4%
Herbert Hoover N,HS,95.6%
Home Of Franklin,D Roosevelt NHS,95.6%
Homestead NM,,93.5%
Hopewell Culture,NHP,95.6%
Hopewell Furnace,NHS,95.6%
Park Unit,Non-Local,Visitors
Nicodemus NH,S,97.8%
Ninety Six NHS,,95.6%
Niobrara NSR,,98.2%
Noatak NPRES,,100.0%
North Cascades,NP,99.2%
Obed W&SR,,74.5%
Ocmulgee NM,,95.6%
Olympic NP,,98.4%
Oregon Caves,NM,98.3%
Organ Pipe Cac,tus NM,98.8%
Ozark NSR,,88.5%
Padre Island NS,,88.6%
Palo Alto Battlef,ield NHP,95.6%
Paterson Great,Falls NHP,95.6%
Pea Ridge NMP,,95.6%
Pearl Harbor N,MEM,98.6%
Pecos NHP,,95.6%
Pennsylvania A,venue NHS,91.6%
Perry's Victory,& International Peace,89.7%
MEM,,
Petersburg NB,,95.6%
Petrified Forest,NP,98.6%
Petroglyph NM,,77.6%
Pictured Rocks,NL,88.3%
Pinnacles NP,,88.9%
Pipe Spring NM,,95.6%
Pipestone NM,,95.6%
Piscataway P,,95.6%
Point Reyes NS,,88.2%
Port Chicago N,aval Magazine NMEM,95.6%
Park Unit,Non-Local,Visitors
President's Par,k,91.6%
