Spending Group,Sector,Sector Name,Weight
hotels,507,"Hotels and motels, including casino",1.00
specialty lodging,508,Other accommodations,1.00
camping fees,508,Other accommodations,1.00
restaurants,509,Full-service restaurants,0.50
restaurants,510,Limited-service restaurants,0.50
groceries,3406,"Retail – Food and beverage stores",1.00
agritourism,3504,"Other amusement and recreation",0.25
agritourism,3406,"Retail services – Food and beverage stores",0.75
craft beverage recreation,106,Breweries,0.5
craft beverage recreation,107,Wineries,0.5
gas,3408,"Retail – Gasoline stores",1.00
local transportation,418,"Transit and ground passenger transportation",0.25
local transportation,450,"Automotive equipment rental and leasing",0.75
public transportation,418,"Transit and ground passenger transportation",1.00
rental cars,450,"Automotive equipment rental and leasing",1.00
local air transportation,414,Air transportation,1.00
local water transportation,416,Water transportation,1.00
local ferry and plane transportation,414,Air transportation,0.5
local ferry and plane transportation,416,Water transportation,0.5
scenic and sightseeing transportation,420,"Scenic and sightseeing transportation and support activities for transportation",1.00
recreation and entertainment,504,"Other amusement and recreation industries",1.00
