Spending Group,Sector,Sector Name,Weigh
national parks permits and fees,501,"Museums, historical sites, zoos, and parks",1.00
guides and tour fees,504,Other amusement and recreation industries,1.00
equipment rental,451,General and consumer goods rental except video tapes and discs,1.00
sporting goods,3410,"Retail – Sporting goods, hobby, musical instrument and book stores",1.00
souvenirs and other retail,3412,Retail – Miscellaneous store retailers,1.00
medical expenses,483,Offices of physicians,0.33
medical expenses,486,Outpatient care centers,0.33
medical expenses,490,Hospitals,0.34
cruise package,416,Water transportation,0.45
cruise package,507,Hotels and motels, including casino hotels,0.55
