ab,le A-1 (co,"ntinued). NPS visits, spending, an",d economic contri,butions to local e,conomies – 2022.,,,
,,,Total To,tal Visitor,,,,Economic
,,,Recreation,Spending,Labo,r Income Valu,e Added,Output
Par,k Unit,,Visits ($00,"0s, $2022)",Jobs ($000,"s, $2022) ($000","s, $2022) ($00","0s, $2022)"
Can,yonlands N,"P a,b","779,147","$101,464","1,319","$40,896","$69,246","$123,758"
Cap,e Cod NS a,,"3,968,672","$548,247","6,683","$275,881","$450,024","$750,304"
Cap,e Hatteras,"NS a,b","2,862,844","$644,568","10,272","$350,475","$537,394","$864,609"
Cap,e Krusenst,ern NM,"17,403","$28,727",403,"$15,723","$25,089","$42,990"
Cap,e Lookout,NS,"541,533","$26,773",343,"$9,598","$15,632","$29,648"
Cap,itol Reef N,"P a,b","1,227,608","$105,561","1,462","$32,199","$62,120","$121,297"
Cap,ulin Volcan,o NM a,"88,541","$3,029",38,$990,"$1,661","$3,160"
Car,l Sandburg,Home NHS,"79,123","$5,225",73,"$2,263","$3,809","$6,912"
Car,lsbad Cave,rns NP,"390,932","$28,452",353,"$9,838","$16,890","$31,166"
Car,ter G. Woo,dson Home NHS c,0,$0,0,$0,$0,$0
Cas,a Grande R,uins NM,"78,557","$5,187",71,"$2,786","$4,649","$8,017"
Cas,tillo De San,Marcos NM,"624,841","$41,259",592,"$19,210","$32,775","$58,786"
Cas,tle Clinton,NM,"3,471,661","$99,259",976,"$50,383","$80,097","$125,214"
Cat,octin Mount,"ain P a,b","450,322","$13,455",147,"$6,523","$10,338","$16,460"
Ced,ar Breaks,NM,"688,644","$50,025",653,"$19,416","$33,285","$62,189"
Ces,ar E. Chav,ez NM,"11,585",$765,9,$442,$693,"$1,118"
Cha,co Culture,NHP,"41,594","$2,525",33,$994,"$1,722","$3,152"
,a For these,"parks, results are based on a visitor s",urvey at the designat,ed park. For other,"parks, visitor charac",teristics and spend,ing averages are,from gene
,profiles or,best available data.,,,,,,
,b Trip chara,"cteristic data, spending data, and/or lo",cal area definitions,were updated for th,ese parks in 2022.,,,
,c Area was,closed for one or more months in 2022,.,,,,,
