Park Unit,Recreation Visits,Spending,Labor Income,Value Added,Output
Chamizal NMEM,"17,673","$1,167",17,$488,$776,"$1,515"
Channel Islands NP,"323,245","$21,775",258,"$12,639","$19,935","$31,853"
Charles Pinckney NHS,"12,585","$831",11,$361,$625,"$1,080"
Charles Young Buffalo Soldiers NM,"3,518","$232",3,$113,$178,$323"
Chattahoochee River NRA,"3,537,848","$176,660","2,372","$89,583","$149,455","$259,566"
Chesapeake & Ohio Canal NHP,"4,286,185","$90,738","1,177","$51,826","$85,518","$139,746"
Chickamauga & Chattanooga NMP,"964,272","$63,644",905,"$26,387","$43,365","$81,396"
Chickasaw NRA,"1,455,530","$27,957",258,"$7,206","$11,691","$23,493"
Chiricahua NM,"61,377","$4,063",49,"$1,410","$2,395","$4,374"
Christiansted NHS,"96,587","$6,378",65,"$2,966","$5,327","$8,221"
City Of Rocks NRES,"83,996","$5,546",73,"$2,097","$3,567","$6,596"
Clara Barton NHS,"673","$45",1,$25,$41,$66"
Colonial NHP,"2,762,273","$303,110","4,509","$128,874","$220,132","$407,623"
Colorado NM,"480,442","$34,055",438,"$13,332","$23,066","$42,518"
Congaree NP,"204,522","$11,831",138,"$4,534","$8,073","$14,224"
Coronado NMEM,"131,359","$8,674",114,"$3,871","$6,434","$11,384"
Cowpens NB,"212,534","$15,469",213,"$7,765","$12,878","$22,503"
