"Park Unit","Total Recreation Visits","Total Visitor Spending ($000s, $2022)","Jobs ($000s, $2022)","Labor Income Value Added ($000s, $2022)","Output ($000s, $2022)"
"Effigy Mounds NM","56,422","$4,053",61,"$1,646","$2,707","$5,230"
"Eisenhower NHS","22,250","$1,469",18,$830,"$1,332","$2,149"
"El Malpais NM","162,755","$10,747",153,"$4,504","$7,724","$14,402"
"El Morro NM","60,501","$4,319",56,"$1,307","$2,375","$4,672"
"Eleanor Roosevelt NHS","19,076","$1,260",15,$686,"$1,106","$1,766"
"Eugene O'Neill NHS","18,754","$1,238",13,$734,"$1,129","$1,736"
"Everglades NP","1,155,193","$124,649","1,730","$66,665","$114,028","$192,518"
"Federal Hall NMEM","40,229","$2,656",29,"$1,583","$2,572","$3,896"
"Fire Island NS","393,749","$19,610",193,"$10,736","$17,459","$26,340"
"First Ladies NHS","7,146",$472,7,$261,$411,$726
"Flight 93 NMEM","346,559","$22,884",328,"$12,243","$19,030","$33,631"
"Florissant Fossil Beds NM","67,174","$4,436",58,"$2,407","$3,963","$6,698"
"Ford's Theatre NHS","319,596","$6,810",85,"$3,938","$6,516","$10,439"
"Fort Bowie NHS","7,913",$334,4,$122,$205,$357
"Fort Caroline NMEM","329,363","$21,748",312,"$10,556","$17,924","$31,761"
"Fort Davis NHS","45,401","$2,998",38,"$1,134","$1,752","$3,222"
"Fort Donelson NB","183,638","$13,365",158,"$6,641","$10,806","$17,895"
