ab,le A-1,"(continued). NPS visits, spending, an",d economic contri,butions to local eco,nomies – 2022.,,,
,,,Total To,tal Visitor,,,,Economic
,,,Recreation,Spending,Labor,Income Value,Added,Output
Par,k Unit,,Visits ($00,"0s, $2022)",Jobs ($000s,", $2022) ($000s",", $2022) ($00","0s, $2022)"
Fort,Freder,ica NM,"245,214","$16,192",226,"$7,673","$12,808","$22,534"
Fort,Laram,"ie NHS a,b","39,657","$1,221",15,$397,$657,"$1,293"
Fort,Larned,NHS a,"26,219","$1,811",24,$575,"$1,053","$2,040"
Fort,Matan,zas NM,"698,895","$46,149",663,"$21,601","$36,934","$66,187"
Fort,McHe,nry NM&SHRINE,"223,957","$14,789",185,"$8,344","$13,600","$21,943"
Fort,Neces,sity NB,"258,293","$17,051",247,"$9,334","$14,601","$25,797"
Fort,Point,NHS,"955,454","$63,090",672,"$37,404","$57,518","$88,442"
Fort,Pulask,i NM,"471,077","$34,286",429,"$14,424","$25,130","$43,314"
Fort,Raleig,h NHS,"287,650","$18,994",276,"$8,026","$13,578","$25,459"
Fort,Scott,NHS a,"26,854",$550,7,$169,$284,$575
Fort,Smith,NHS,"123,229","$8,137",119,"$3,210","$5,561","$10,683"
Fort,Stanw,ix NM a,"71,716","$4,487",50,"$1,888","$3,434","$5,649"
Fort,Sumte,r NM,"385,472","$25,453",330,"$11,050","$19,165","$33,177"
Fort,Union,NM a,"7,557",$583,7,$219,$372,$668
Fort,Union,Trading Post NHS a,"12,822","$1,178",12,$407,$643,"$1,122"
Fort,Vanco,uver NHS,"964,318","$63,675",873,"$35,703","$56,969","$97,441"
Fort,Washi,ngton P,"406,917","$26,869",325,"$15,096","$24,704","$39,380"
,a For th,"ese parks, results are based on a visitor s",urvey at the designat,ed park. For other p,"arks, visitor charact",eristics and spendi,ng averages are,from gene
,profile,s or best available data.,,,,,,
,b Trip c,"haracteristic data, spending data, and/or lo",cal area definitions,were updated for the,se parks in 2022.,,,
