Park Unit,Visits ($000s, $2022),Spending ($000s, $2022),Jobs ($000s, $2022),Labor Income Value Added ($000s, $2022),Output ($000s, $2022)
Fossil Butte NM,17879,$1011,12,$375,$627,$1126
Franklin Delano Roosevelt MEM,3291313,$70137,877,$40553,$67111,$107508
Frederick Douglass NHS,211,$40,0,$2,$4,$7
Frederick Law Olmsted NHS,14148,$935,12,$563,$878,$1423
Fredericksburg & Spotsylvania NMP,756296,$49939,617,$27335,$44590,$72073
Friendship Hill NHS,16395,$1083,16,$589,$922,$1627
Gates Of The Arctic NP&PRES,9457,$15611,219,$8544,$13634,$23361
Gateway Arch NP,1618774,$112076,1781,$71532,$114178,$196236
Gateway NRA,8728291,$259269,2852,$114094,$191737,$314550
Gauley River NRA,163510,$8112,104,$3077,$5123,$9444
General Grant NME,132542,$5689,63,$3492,$5671,$8244
George Rogers Clark NHP,123229,$8137,113,$3227,$5656,$10457
George Washington Birthplace NM,96234,$4976,59,$2661,$4325,$6927
George Washington Carver NM,29725,$630,8,$242,$397,$762
George Washington MEM PKWY,7397120,$54544,831,$32384,$50763,$87497
Gettysburg NMP,764576,$55648,668,$30795,$49806,$80017
Gila Cliff Dwellings NM,43608,$2880,37,$919,$1602,$3066
Sleeping Bear Dunes NL,1501117,$181614,2392,$72500,$129711,$234042
Springfield Armory NHS,14486,$957,12,$542,$858,$1386
Statue Of Liberty NM,3141213,$207420,2251,$123600,$200874,$304308
Steamtown NHS,71232,$4351,62,$2312,$3577,$6285
Stones River NB,417791,$27587,360,$14740,$23731,$40068
Stonewall NM,1581961,$104460,1137,$62260,$101242,$153520
Sunset Crater Volcan NM,54787,$3618,45,$1484,$2424,$4274
Tallgrass Prairie NPRES,24795,$1638,23,$680,$1159,$2137
Thaddeus Kosciuszk NMEM,1680,$111,2,$68,$106,$176
Theodore Roosevelt Birthplace NHS,7948,$525,6,$313,$509,$772
Theodore Roosevelt Inaugural NHS,19728,$1303,16,$599,$1051,$1765
Theodore Roosevelt Island P,171500,$11324,139,$6402,$10460,$16771
Theodore Roosevelt NP,668679,$47721,570,$17091,$29032,$52799
Thomas Edison NHP,33095,$777,7,$425,$680,$996
Thomas Jefferson MEM,2975148,$100374,1337,$63997,$102922,$156569
Thomas Stone NHS,4821,$318,4,$179,$292,$464
Timpanogos Cave NM,155995,$10301,145,$5122,$8670,$15589
