"Park Unit","Visits","Spending","Jobs","Labor Income","Value Added","Output"
"Glacier Bay NP&PRES","545758","$223677","2824","$126214","$196012","$382678"
"Glacier NP","2908458","$367589","5691","$184793","$284541","$548417"
"Glen Canyon NRA","2842776","$300543","3486","$126398","$213280","$372677"
"Golden Gate NRA","15638911","$1095491","10432","$698994","$1060746","$1524345"
"Golden Spike NHS","49042","$3169","43","$1475","$2522","$4536"
"Governors Island NM","44345","$2928","32","$1746","$2836","$4295"
"Grand Canyon NP","4732101","$758899","9991","$346332","$576355","$1010477"
"Grand Portage NM","93108","$6775","87","$2136","$3791","$7229"
"Grand Teton NP","2806223","$597470","7608","$267468","$438271","$757041"
"Grant-Kohrs Ranch NHS","24351","$1608","25","$779","$1147","$2255"
"Great Basin NP","142115","$9151","122","$2644","$4847","$9668"
"Great Sand Dunes NP&PRES","493428","$32538","408","$10668","$18659","$35980"
"Great Smoky Mountains NP","12937633","$2110462","32590","$1218335","$1922997","$3262390"
"Greenbelt P","60800","$4365","52","$2417","$3976","$6326"
"Guadalupe Mountains NP","219987","$26288","311","$10671","$17784","$31165"
"Guilford Courthouse NMP","389057","$25690","374","$12732","$20945","$37627"
"Gulf Islands NS","5685155","$282833","3655","$122262","$203785","$367005"
