Spending Group,Sector Name,IMPLAN Sector,Weight
Hotels,"Hotels and motels, including casino hotels",507,1.00
Specialty Lodging C,Other accommodations,508,1.00
Camping Fees,Other accommodations,508,1.00
Restaurants,Full-service restaurants,509,0.50
Restaurants,Limited-service restaurants,510,0.50
Groceries B,Retail – Food and beverage stores,3406,1.00
Agritourism A,Other amusement and recreation,3504,0.25
"Agritourism A,B",Retail services – Food and beverage stores,3406,0.75
Craft Beverage Recreation A,Breweries,106,0.5
Craft Beverage Recreation A,Wineries,107,0.5
Gas B,Retail – Gasoline stores,3408,1.00
Local Transportation,Transit and ground passenger transportation,418,0.25
Local Transportation,Automotive equipment rental and leasing,450,0.75
Public Transportation A,Transit and ground passenger transportation,418,1.00
Rental Cars A,Automotive equipment rental and leasing,450,1.00
Local Air Transportation A,Air transportation,414,1.00
Local Water Transportation A,Water transportation,416,1.00
Local Ferry and Plane Transportation A,Air transportation,414,0.5
Local Ferry and Plane Transportation A,Water transportation,416,0.5
Scenic and Sightseeing Transportation A,"Scenic and sightseeing transportation and
support activities for transportation",420,1.00
Recreation and Entertainment,Other amusement and recreation industries,504,1.00
National Parks Permits and Fees A,"Museums, historical sites, zoos, and parks",501,1.00
Guides and Tour Fees A,Other amusement and recreation industries,504,1.00
Equipment Rental A,"General and consumer goods rental except
video tapes and discs",451,1.00
"Sporting Goods A,B","Retail – Sporting goods, hobby, musical
instrument and book stores",3410,1.00
Souvenirs and Other Retail B,Retail – Miscellaneous store retailers,3412,1.00
Medical Expenses A,Offices of physicians,483,0.33
Medical Expenses A,Outpatient care centers,486,0.33
Medical Expenses A,Hospitals,490,0.34
Cruise Package A,Water transportation,416,0.45
Cruise Package A,"Hotels and motels, including casino hotels",507,0.55
"Electric Vehicle Charging A,B",Retail services – Gasoline stores,3408,1.00
Automobile Repair A,"Automotive repair and maintenance, except
car washes",512,1.00
