Park Unit,"Total
Recreation
Visits","Total Visitor
Spending
($000s, $2024)",Jobs,"Labor Income
($000s, $2024)","Value Added
($000s, $2024)","Economic
Output
($000s, $2024)"
Arches NP A,"1,466,528","$287,785","2,502","$94,522","$183,289","$312,122"
Arkansas Post NMEM,"26,203","$1,844",20,$714,"$1,328","$2,342"
"Arlington House, The Robert E. Lee Memorial NMEM","447,641","$31,499",294,"$15,635","$28,326","$43,841"
Assateague Island NS,"2,282,498","$120,137","1,075","$44,563","$80,941","$134,306"
Aztec Ruins NM A,"40,019","$2,635",26,$969,"$1,853","$3,251"
Badlands NP A,"1,094,245","$143,206","1,410","$58,901","$111,301","$191,413"
Bandelier NM,"213,595","$15,870",159,"$6,454","$11,799","$20,181"
Belmont-Paul Women’s Equality NM,"7,704",$177,2,$90,$165,$253
Bent’s Old Fort NHS,"16,102","$1,133",11,$432,$837,"$1,418"
Bering Land Bridge NPRES,"2,642","$5,145",48,"$2,502","$4,521","$7,371"
Big Bend NP,"561,458","$56,817",585,"$17,269","$34,443","$63,707"
Big Cypress NPRES,"2,216,708","$214,069","1,993","$103,880","$190,313","$303,191"
Big Hole NB A,"45,211","$3,780",39,"$1,286","$2,151","$4,144"
Big South Fork NRRA A,"779,602","$28,466",244,"$10,784","$19,343","$31,583"
Big Thicket NPRES,"271,823","$21,057",206,"$9,174","$16,870","$27,828"
Bighorn Canyon NRA,"219,815","$11,557",121,"$4,382","$7,609","$14,003"
Biscayne NP,"512,213","$39,679",362,"$19,190","$34,520","$55,023"
Black Canyon Of The Gunnison NP,"335,862","$25,238",209,"$10,258","$19,050","$30,348"
Blue Ridge PKWY A,"16,733,639","$1,521,013","15,679","$581,720","$1,071,669","$1,882,268"
Bluestone NSR,"7,327",$387,4,$135,$252,$439
Booker T Washington NM,"24,209","$1,703",19,$672,"$1,241","$2,204"
Boston African American NHS,"393,386","$27,681",265,"$15,634","$26,194","$40,565"
Boston Harbor Islands NRA C,"28,157","$1,488",13,$770,"$1,299","$2,007"
Boston NHP,"2,744,458","$193,124","1,848","$109,087","$182,738","$282,993"
Brown v. Board of Education NHP,"21,919","$1,542",18,$766,"$1,349","$2,294"
Bryce Canyon NP A,"2,498,075","$244,884","2,334","$69,263","$139,948","$270,134"
Buck Island Reef NM,"42,289","$3,179",25,"$1,342","$2,652","$3,969"
Buffalo NR,"1,686,348","$88,678",889,"$32,586","$60,008","$105,529"
Cabrillo NM,"845,912","$59,525",566,"$29,339","$50,637","$79,914"
Camp Nelson NM,"34,716","$2,443",27,"$1,045","$1,854","$3,234"
Canaveral NS A,"1,884,091","$88,177",811,"$37,698","$70,430","$113,947"
Cane River Creole NHP,"12,592",$886,10,$314,$607,"$1,104"
Canyon De Chelly NM A,"387,433","$49,793",515,"$16,676","$32,522","$59,523"
Canyonlands NP A,"818,492","$116,288","1,011","$38,241","$74,267","$125,599"
Cape Cod NS A,"3,823,242","$598,168","5,385","$277,308","$483,847","$754,419"
Cape Hatteras NS A,"2,762,954","$650,279","7,012","$277,130","$492,967","$852,033"
Cape Krusenstern NM,"17,736","$34,526",323,"$16,789","$30,342","$49,466"
Cape Lookout NS,"552,786","$28,925",293,"$9,964","$17,640","$32,033"
Capitol Reef NP A,"1,422,490","$127,194","1,237","$36,060","$74,847","$141,624"
Capulin Volcano NM A,"96,078","$3,445",32,"$1,120","$2,047","$3,579"
Carl Sandburg Home NHS,"113,362","$7,977",83,"$3,262","$6,022","$10,310"
Carlsbad Caverns NP,"460,474","$35,714",335,"$11,964","$22,305","$38,538"
Carter G. Woodson Home NHS C,30,$1,0,$0,$1,$1
Casa Grande Ruins NM,"104,429","$7,349",76,"$3,772","$6,741","$10,991"
