State,"Total
Recreation
Visits","Total Visitor
Spending
($Millions, $2024)",Jobs,"Labor Income
($Millions, $2024)","Value Added
($Millions, $2024)","Economic Output
($Millions, $2024)"
Alabama,"1,390,582",$99.8,"1,104",$40.3,$73.7,$131.9
Alaska,"3,473,715","$1,733.8","17,151",$863.1,"$1,513.9","$2,515.1"
American Samoa,"22,567",$1.6,13,$0.7,$1.3,$2.0
Arizona,"11,254,081","$1,430.5","15,232",$768.9,"$1,371.1","$2,237.5"
Arkansas,"4,471,452",$301.2,"3,305",$114.0,$218.0,$391.1
California,"39,405,195","$3,697.6","35,683","$2,118.5","$3,655.7","$5,757.1"
Colorado,"7,227,859",$817.4,"7,962",$423.4,$764.9,"$1,237.7"
Connecticut,"34,246",$2.4,22,$1.2,$2.2,$3.3
Delaware,"192,220",$13.5,138,$5.9,$10.7,$17.4
District of Columbia,"41,961,726","$1,063.7","7,343",$501.0,$865.8,"$1,224.4"
Florida,"13,503,256",$934.8,"9,494",$455.4,$835.9,"$1,373.0"
Georgia,"7,010,226",$445.0,"4,834",$212.5,$386.8,$646.9
Guam,"373,974",$26.3,217,$11.5,$22.3,$33.7
Hawaiʻi,"4,618,839",$910.9,"7,511",$431.6,$861.2,"$1,278.9"
Idaho,"795,625",$46.5,479,$20.1,$36.0,$62.2
Illinois,"188,237",$13.7,129,$6.9,$12.9,$20.0
Indiana,"3,001,734",$161.9,"1,561",$65.7,$119.7,$200.7
Iowa,"210,006",$15.2,162,$6.1,$11.2,$19.7
Kansas,"110,282",$6.6,71,$2.8,$5.0,$8.7
Kentucky,"2,037,341",$127.8,"1,450",$56.9,$98.2,$173.0
Louisiana,"270,126",$19.0,206,$7.5,$14.4,$25.1
Maine,"4,010,342",$542.6,"5,419",$266.6,$499.9,$798.2
Maryland,"6,563,785",$255.5,"2,283",$113.5,$210.1,$329.3
Massachusetts,"8,836,572",$950.4,"8,851",$556.0,$930.3,"$1,410.8"
Michigan,"2,923,630",$301.4,"3,090",$141.7,$264.4,$434.7
Minnesota,"1,077,541",$69.4,706,$33.6,$59.2,$98.4
Mississippi,"8,800,187",$605.2,"6,278",$227.6,$422.7,$758.0
Missouri,"4,396,444",$287.4,"3,266",$143.8,$247.8,$427.0
Montana,"5,931,591",$838.5,"9,293",$408.0,$675.7,"$1,204.9"
Nebraska,"330,027",$24.4,268,$11.0,$19.6,$34.2
Nevada,"5,022,202",$327.3,"2,860",$152.5,$274.2,$434.9
New Hampshire,"26,685",$1.6,16,$0.9,$1.6,$2.4
New Jersey,"5,212,763",$198.4,"1,933",$102.5,$169.8,$274.8
New Mexico,"2,375,358",$189.8,"1,883",$75.7,$139.4,$242.0
New York,"18,741,050",$876.7,"6,914",$434.2,$770.6,"$1,141.4"
North Carolina,"18,796,186","$2,280.4","25,824","$1,173.7","$2,053.5","$3,482.8"
North Dakota,"755,846",$57.7,570,$24.5,$41.6,$72.4
Ohio,"3,244,285",$169.9,"1,929",$85.3,$149.9,$255.7
Oklahoma,"1,682,867",$32.6,247,$9.4,$17.2,$30.5
Oregon,"988,605",$91.4,943,$45.5,$79.0,$131.0
Pennsylvania,"7,972,917",$425.1,"4,629",$222.1,$371.4,$620.7
Puerto Rico,"1,329,728",$155.8,"1,358",$77.6,$154.6,$229.1
Rhode Island,"43,242",$3.0,28,$1.4,$2.6,$4.0
South Carolina,"1,120,740",$73.5,741,$29.1,$56.4,$95.6
South Dakota,"3,850,934",$524.6,"5,199",$233.9,$415.3,$697.1
Tennessee,"12,571,305","$1,744.6","17,387",$882.1,"$1,585.9","$2,537.0"
Texas,"5,366,208",$380.5,"3,916",$183.5,$334.0,$562.0
Utah,"15,821,580","$2,024.2","21,495",$957.5,"$1,807.6","$3,087.8"
Vermont,"81,713",$5.7,52,$2.4,$4.6,$7.3
Virgin Islands,"603,042",$88.9,762,$39.8,$79.9,$122.2
Virginia,"21,362,318","$1,474.6","15,354",$675.8,"$1,257.1","$2,073.6"
Washington,"9,036,038",$677.7,"5,226",$297.5,$602.9,$897.5
West Virginia,"2,580,211",$139.0,"1,415",$50.2,$91.7,$161.7
Wisconsin,"733,828",$74.9,798,$33.3,$59.2,$103.9
Wyoming,"8,120,299","$1,216.3","11,823",$468.8,$877.2,"$1,541.9"
